county,method,Q1x,Q2x,Q2.1x,Q2xRANGE,Q3.1x,Q3.2x,Q3.3x,Q3.4x,Q3.5x,Q3.6x,Q3.6.1,Q3SUM,Q3.1xNUM,Q3.2xNUM,Q3.3xNUM,Q3.4xNUM,Q3.5xNUM,Q3.6xNUM,CountQ3,MoreGear,Q4x,Q4ax,Q5x,Q5.1x,Q5xMEAN,Q5xRANGE,Q6.1x,Q6.2x,Q6.3x,Q6.4x,Q6.4.1,Q6.1xMEAN,Q6.2xMEAN,Q6.3xMEAN,Q6.4xMEAN,CountQ6,Q6SUM,Q6.1xNUM,Q6.2xNUM,Q6.3xNUM,Q6.4xNUM,Q7.1x,Q7.2x,Q8.1x,Q8.2x,Q8.1xMEAN,Q8.2xMEAN,Q8SUM,Q9x,Q10x,Q10.1x,Q11x,Q11.1x,Q12x,Q12.1x,Q13x,Q13.1x,TOTALCaught,Q10xMEAN,Q11xMEAN,Q12xMEAN,Q13xMEAN,Q14x,Q14xMEAN,Q14ax,Q14axMEAN,BaseforQ15,Q15.1x,Q15.2x,Q15.3x,Q15.4x,Q15.5x,Q15.6x,Q15.7x,Q15.7.1,CountQ15,CountQ15_Primary,Q15_Primary,Q16x,q16.1x,q16.2x,Q16.3,Q17.2xMEAN,Q17.1x,Q17.2x,Q17.3x,Q17.4x,Q17.1xMEAN,Q17.3xMEAN,Q17.4xMEAN,Q17SUM,Q17.1xAMOUNT,Q17.2xAMOUNT,Q17.3xAMOUNT,Q17.4xAMOUNT,Q17TotalAMOUNT,Q18x,Q19.1x,Q19.2x,Q19.3x,Q19.4x,Q19.5x,Q19.6x,Q19.6.1,Q19.1xMEAN,Q19.2xMEAN,Q19.3xMEAN,Q19.4xMEAN,Q19.5xMEAN,Q19.6xMEAN,Q19SUM,Q20x,Q20.1x,Q20xMEAN,Q20TotalVALUE,Q20OtherVALUE,Q21.1x,Q21.2x,Q21.3x,Q21.4x,Q21.1xMEAN,Q21.2xMEAN,Q21.3xMEAN,Q21.4xMEAN,Q21SUM,Q21.1xVALUE,Q21.2xVALUE,Q21.3xVALUE,Q21.4xVALUE,Q22x,Q22xMEAN,Q23x,Q24x,Q25x,vesselsize,Q26x,Q27x,boatage,Q28x,boatown,Q29x,Q30x,Q31x,fuelprice1,truckfuelprice1,iceprice1,baitprice1,fuelprice2,truckfuelprice2,iceprice2,baitprice2,Troll,Bait,Pelagic,Bottomfish,Deep7Bottomfish,ShallowBottomfish,Reef,Q3.1xMEAN,Q3.2xMEAN,Q3.3xMEAN,Q3.4xMEAN,Q3.5xMEAN,Q3.6xMEAN,CommonGear,Q32.1,Q32a.1.1x,Q32a.2.1x,Q32a.4.1x,Q32a.5.1x,Q2xMEAN,SurveyID,Q32x,AVC1,Q32a.1x,Q32a.2x,Q32a.3x,Q32a.4x,Q32a.5x,Q32a.6x,Q32a.7x,Q32a.8x,Q32a.9x,Q32a.9.1,TFC,Q34.1x_A,Q34.2x_A,Q34.3x_A,Q34.4x,Q34.5x,Q34.6x,Q34.7x,Q34.8x,Q34.8.1,Q32bx,Q32b.1x,Q32b.2x,Q32b.3,Q33a.1.1x,Q33a.2.1x,Q33a.4.1x,Q33a.5.1x,Q33.1,Q33x,AVC2,Q33a.1x,Q33a.2x,Q33a.3x,Q33a.4x,Q33a.5x,Q33a.6x,Q33a.7x,Q33a.8x,Q33a.9x,Q33a.9.1,Q33bx,Q33b.1x,Q33b.2x,Q33b.3,Q34.1x,Q34.1.1x,Q34.2x,Q34.2.1x,Q34.3x,Q34.3.1x,Q35x,Q36x,Q37x,Q38x,Q39.1x,Q39.2x,Q39.3x,Q39.4x,Q39.5x,Q39.6x,Q39.6.1,NumEthnic,Ethnic,Q40x,Q41x,Q42.1x,Q42.2x,Q42.3x,Q42.4x,Q43,Q44.1,Q44.1.1,Q44.1.2,Q44.2,Q44.2.1,Q44.2.2,Q44.3,Q44.3.1,Q44.3.2,Q45.1,Q45.2,Q45.3,Q46.1,Q46.2,Q46.3,Q46.4,Q46.5,Q46.6,Q46.7,Q46.7.1,Q47.1,Q47.2,Q47.3,Q47.4,Q47.5,Q47.6,Q47.7,Q47.7.1,Q48,Q49,Q49a,NumCaught,NumLost,NumReleased,NumSold,LbsCaught,LbsSold,Value,CML_NO,CaughtvsSample,PerReleased,PerSold,CatchPerTrip,CatchPerTrip_R,ValuePerTrip,ValuePerTrip_R,AVC1_Troll,AVC1_Bait,AVC1_Deep7Bottom,AVC1_ShallowBottom,AVC1_Spear,AVC1_Other,AVC2_Troll,AVC2_Bait,AVC2_Deep7Bottom,AVC2_ShallowBottom,AVC2_Spear,AVC2_Other,Hawaii,Total,Q15_Primary_Report,boatimprove,ck,TotalCaught_R,Q20XMEAN_R,Q24xMEAN,Q7.1xMEAN,Q7.2xMEAN,Q17TotalAMOUNTck
2,2,2, ,4,4,3,3,5,2,2,1, ,100,7.5,7.5,52.5,3.75,3.75,0,5,16,2, , ,2,6,2,4,5,1,1, ,40,60,0,0,2,100,2.4,3.6,0,0,1,6,4,4,50,50,100,2,5, ,5, ,4, ,2, ,1825,750,750,300,25, , , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,0, , , , , ,4,4,2,1,47.5,47.5,5,0,100, , , , ,2,5,1,1,22,2,230,2005,16,2010,11,40000,25000,2010,4,4,.166666666666667,20,4,4,.166666666666667, ,1,1,1,1,1,1,1,10,10,70,5,5,0,3, ,25,5,300,3,75,1278,3,330,100,20,0,50,60,0,50,50,0, ,350,0,0,0,50,100,200,0,0, ,1, , , ,50,5,300, , ,1,372,200,20,12,50,0,20,20,50,0, ,1, , , ,0, ,0, ,0, ,1,4,96720, , ,1, , , , , ,1,2,6,5,1,1,1,1, ,deep 7,pelagic,shallow,deep 7,pelagic,shallow,deep 7,pelagic,shallow,5,5,5,5,5,5,5,5,5, , ,2,2,2,2,2,3, , , , , ,837,0,8,893,2359.7,3527.21,14733.63,21055,-1702.21,.955794504181601,149.477052167648,24.3333333333333,3, , , , ,330, , , ,372, , , , , ,1,1, ,11,0,5, ,0,0,95, 
2,2,2, ,4,4,3,3,2,3,3,3,cone shaped fish traps 3''x5''x7'',100,11.25,26.25,3.75,11.25,11.25,11.25,6,17,2, , ,5,75,5,4,4,3,1, ,50,40,10,0,3,100,37.5,30,7.5,0,5,2,4,4,50,50,100,3,4, ,1, ,4, ,6,1650,2250,300,0,300,1650, , , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,0, , , , , ,3,1,3,5,20,0,20,60,100, , , , ,3,25,2, , , , , , , , , , , ,4,4.16666666666667,.1,44,4,4.16666666666667, ,44,1,1,1,1,1,1,1,15,35,5,15,15,15,2,"troll, pelagic, shallow bttmfish, net, trap",40,12,1000,6,75,1575,6,599,160,50,0,100,264,25,0,0,0, ,21589,0,0,0,1489,20000,100,0,0,New tires for trailer,4, , ,split evenly among crew members,40,12, ,6, ,5,1182,160,50,13,150,264,20,75,150,300,trolling lures,3, ,40, ,0, ,0, ,0, ,1,6,96778,2, , , ,1, , , ,1,4,3,2,1,2,1,1,With so many people out of work it's inevitable sustainable fishing to feed their families,yellow fin tuna,ono/mahimahi,broadbill,broadbill,"aku, ono, ahi",mahimahi,"ono, mahimahi",broadbill,skip jack tuna,4,5,5,4,4,3,3,3,3, , ,3,3,2,2,1,2, , ,"Well, enforcement issues, limited personnel, changed to patrol large areas, distances beyond 100+ miles. I went to school with a few of the older enforcement officers, also worked at Kaloko-honokonau.","The COVID shut down almost brought the fisheries to a close, processors closed before we / ahi''s fishing got back to Hilo harbors / Wailoa, so we''d have to leave the grounds 2-3 hours before the sun rises!!","Changes were made to allow schedule to not be so restrictive, allowing us to be able to deliver at Suisan Ltd.",15,0,0,15,62,62,323,24039,2188,0,100,30,3, , , , , , , ,2088, , , , ,1182, ,1,1, , ,0,5, , ,75,5, 
4,2,1, ,1,1,3,4,3,3,1,1, ,100,1.8,3,.6,.6,0,0,4,14,2, , , ,0,1, , , , , , , , , ,0, , , , , , , ,6,1,100,0,100, ,2, ,1, ,1, ,1, ,25,25,0,0,0, , , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , ,2,2,2,1,5,5,5,0,15, , , , ,1,0,1,1,21,2,90,1983,38,2020,1,21000,25000, ,1.16666666666667,5,.5,15,2.5,3,.333333333333333,20,1,1,1,1,1,1,0,30,50,10,10,0,0,2,Trolling and shallow bottomfish,60,10,100,2,6,1822,6,315,70,50,15,50,30,50,30,20,0, ,1905,0,0,0,1500,30,375,0,0,trailer registration,2,200, , ,12,7,60,1,deep 7 and shallow bottomfish,6,161,30,21,0,20,20,40,30,0,0, ,1, , , ,0, ,0, ,0, ,1,6,96705,2, , , , , ,1,Filipino,1,5,5,3,1,1,1,1,People need to eat!,not selling, , ,bottom fish, , ,pelagic, , ,5,5,5,5,3,5,5,5,5, , ,5,4,5,5,4,5, , ,commercial tourist tours - frequong traveling to some spot,just started fishing with this boat, ,4,0,4, ,5, , ,9176, ,100, ,4.16666666666667,2, , , , , , , ,315, , , , , ,161,1,1, , ,0,1, ,0, , , 
2,2,1, ,2,2,6,1,1,3,1,1, ,100,16.2,0,0,1.8,0,0,2,7,2, , , ,0,1, , , , , , , , , ,0, , , , , , , ,4,4,50,50,100, ,5, ,1, ,1, ,2, ,775,750,0,0,25, , , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,0, , , , , ,6,1,1,1,100,0,0,0,100, , , , ,2,5,1,1,21,2,225,2015,6,2016,5,17000,15000, ,3.33333333333333,3.33333333333333, , ,2.5,3.33333333333333, , ,1,0,1,1,0,1,0,90,0,0,10,0,0,1, ,30,3, , ,18,1699,1,140,100,10,0,0,0,10,10,10,0, ,500,0,0,0,400,0,100,0,0, ,1, , , ,4,3, , , ,4,30,10,10,0,0,0,0,10,0,0, ,1, , , ,0, ,0, ,0, ,1,5,96720,2, , , ,1,1, , ,2,7,3,5, , , , , ,ono,ahi,mahi,ono,ahi,mahi,ono,ahi,mahi,3,4,4,3,3,3,3,3,3, , ,3,3,3,3,3,3, , , , , ,3,0,0,5,60,162.2,566.5,26918,612.8,0,270.333333333333,43.0555555555556,3, , ,140, , , , , , , , ,30, , ,1,1, , ,0,4, ,0, , , 
4,2,1, ,4,4,6,1,1,1,1,1, ,100,75,0,0,0,0,0,1,1,2, , , ,0,1, , , , , , , , , ,0, , , , , , , ,6,1,100,0,100,3,4, ,1, ,3, ,1, ,375,300,0,75,0,4,50,4,50,1,1,3,2, , , , , ,3,1,1,2,50, , , , , , , , , , ,100, , , , , ,1,1,1,1,1,6,1, ,0,0,0,0,100,0,100,2, ,300,300,0,6,1,1,1,100,0,0,0,100,300,0,0,0,1,0,1,1,18,2,120,2000,21,2013,8,18000,16000,2017,5,3.33333333333333,.2, , , , , ,1,0,1,0,0,0,0,100,0,0,0,0,0,1, ,12,3,50, ,75,1227,1,96,60,10,1,10,0,15,0,0,0, ,400,0,0,0,200,100,100,0,0, ,3, ,67, , , , , , , , , , , , , , , , , , , , , , ,0, ,0, ,0, ,1,5,96716,2, , , , ,1, , ,1,6,3,4,2,2, ,2,A lot of people unemployed going back to work, , , ,ono,ahi,mahi, , , ,3,5,3,3,3,3,4,4,5, , ,3,3,3,3,3,4, , ,No,More active,unemployed,1,0,0, ,20, , ,11789, ,0, ,5,2,4,1,96, , , , , , , , , , , ,1,1,5,4,0,3,2,0, , , 
2,2,1, ,4,4,3,4,1,4,1,1, ,100,15,30,0,30,0,0,3,10,2, , , ,0,1, , , , , , , , , ,0, , , , , , , , , , , , ,3,6,6000,1, ,1, ,1, ,6000,6000,0,0,0,3,25,3,25,1, ,1,2, ,3, , , ,3,1,2,4, , , , , , , , , , , ,100, , , , , ,1,3,1,4,3,3,1, ,20,0,40,20,20,0,100,6, ,7500,7500,0,6,1,1,1,100,0,0,0,100,7500,0,0,0,3,25,1,1,27,3,600,2019,2,2020,1,150000,200000, ,3,5,1,16.6666666666667, , , , ,1,1,1,1,0,1,0,20,40,0,40,0,0,2, ,200,10,200,6,75,1497,2,1620,600,50,20,200,100,100,350,200,0, ,1000,500,0,0,500,0,0,0,0, ,1, , , , , , , , ,4,1070,300,50,20,100,100,100,300,100,0, ,1, , , ,500,2,0, ,0, ,1,4,96745,2, , , ,1, , , ,1,4,5,4,1, , , ,COVID 19 Rules,ahi,wahoo,shibi,yes,yes,sell,yes,yes,sell,3,3,3,4,4,4,4,4,4, , ,4,4,4,4,4,4, , , , , ,274,13,23,591,5556.7,9358.26,29497.24,22470,-3358.26,8.39416058394161,168.413986718736,80,4,100,2, ,1620, , , , , , , ,1070, , ,1,1,1, ,0,6,6,0, , , 
1,1,2, ,3,3,3,5,1,2,1,1, ,100,10.8,23.4,0,1.8,0,0,3,10,2, , ,2,6,2,6,1,1,1, ,100,0,0,0,1,100,6,0,0,0, , ,4,4,50,50,100,2, , , , , , , , , , , , , ,2,5,2,5,1,2,1,3, , , , , ,3,1,2,4, , , ,25,3,3,3,3,25,25,25,100, , , , , ,1,1,6,1,1,1,1, ,0,100,0,0,0,0,100, , , , , ,6,1,1,1,100,0,0,0,100, , , , ,2,5,1,1,19,2,140,2012,9,2012,9, , , , , , , , , , , ,1,1,1,1,0,1,0,30,65,0,5,0,0,2, , , , , ,36,1627, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3, , , , , , ,1, , ,1,6,6, ,1,1,1,1, , , , , , , , , , ,4,5,5,5,4,5,5,4,5, , ,1,2,2,2,2,1, , ,"The Uku fishery is largely unmanaged, scientific research and data is lacking for Hawaii and this needs to be addressed due to the life history of this species.", , ,272,5,2,45,581,601,2569.5,19041, ,.735294117647059,103.442340791738, , , , , , , , , , , , , , , , ,1,1,1, , , , ,0, , , 
3,2,1, ,2,2,4,4,1,1,1,1, ,100,9,9,0,0,0,0,2,5,2, , , ,0,1, , , , , , , , , ,0, , , , , , , ,3,5,25,75,100,2,3, ,1, ,1, ,2, ,100,75,0,0,25,6,95,6,95,1, ,1, , , , , , ,1,1,2,2,50, , , , , , , , , , ,100, , , , , ,1,3,1,3,1,5,1, ,10,0,10,0,80,0,100,3, ,750, , , , , , , , , , , , , , , ,2,5,1,5,23,2,180,2017,4,2018,3,30000,65000,2021,3.14285714285714,5,.16, ,3.14285714285714,5,.16, ,1,1,1,0,0,0,0,50,50,0,0,0,0,1, ,35,2,250, ,18,1185,1,215,110,10,0,40,15,25,15,0,0, ,4850,1200,0,0,1000,2500,150,0,0, ,1, , , ,35,2,250, , ,2,215,110,10,0,40,15,25,15,0,0, ,1, , , ,1200,2,0, ,0, ,1,4,96740,2, , , , ,1, , ,1,6,4,2,1,2, ,2, ,ahi,mahi,ono, , , , , , ,5,5,3,4,4,4,4,3,5,5,keep bouys replaced,4,4,4,4,3,2,2,plenty bouys missing,Keep bouys active and replace missing bouys in timely manner, , ,3,0,0,5,66,135.5,607.75,5954,-35.5,0,205.30303030303,5.55555555555556,2,41.6666666666667,1,215, , , , , , ,215, , , , ,1,1,1,0,0,2,3,75, , , 
1,2,2, ,3,3,5,3,1,2,1,1, ,100,25.2,9,0,1.8,0,0,3,10,2, , ,2,6,2,3,5,1,1, ,17,83,0,0,2,100,1.02,4.98,0,0,1,3,3,5,25,75,100,2,6,2000,2, ,4, ,4, ,2625,2000,25,300,300,5,75,3,25,1, ,1, , ,2, , , ,2,1,2,4, , , , , , , , , , , ,100, , , , , ,1,3,4,1,1,4,1, ,10,50,0,0,40,0,100,6, ,7500,7500,0,6,1,2,2,90,0,5,5,100,6750,0,375,375,2,5,1,1,24,2,200,1973,48, , ,2007,50000,2010,3,5,.16,20,4,5,.5,25,1,1,1,1,0,1,0,70,25,0,5,0,0,1,"troll, bait for pelagic, shllw bttmfsh, spearfish",40,5,500,2,36,1288,6,585,120,25,80,80,40,40,100,100,0, ,1100,0,0,0,300,500,300,0,0, ,1, , , ,20,5,200,2, ,4,575,80,25,80,100,50,40,100,100,0, ,1, , , ,0, ,0, ,0, ,1,3,96744,2, ,1, ,1,1, , ,3,7,3,5, , , ,1, ,ahi,mahimahi,marlin,ahi,mahimahi,marlin,ahi,mahimahi,marlin,2,4,4,4,5,1,1,1,1, , ,3,2,2,2,2,2, , ,Better people running it,Changed nothing, ,15,0,0,86,322,1484,5731.1,17471,1141,0,460.869565217391,72.9166666666667,4,208.333333333333,3, , , , , ,585, , , ,575, , ,1,1,1,11,0,5,6,0,0,25, 
1,1,1,40, ,3,5,2,3,2,1,1, ,100,28,2,8,2,0,0,4,14,2, , , ,0,1, , , , , , , , , ,0, , , , , , , ,3,6,10,90,100,3,6,1500,4, ,4, ,1, ,2100,1500,300,300,0,3,25,3,25,1, ,1, ,2,3, , , ,3,1,2,2,80, ,I keep 80% of fish and 100 % revenue, , , , , , , , ,100, , , , , ,1,1,6,2,1,1,1, ,0,95,5,0,0,0,100,4, ,1500,1500,0,5,3,1,1,75,25,0,0,100,1125,375,0,0,2,5,1,1,36,4,140,1962,59,1962,59,16000,30000,2020,3,3.5,.1,22.7272727272727, , , , ,1,1,1,1,1,1,0,70,5,20,5,0,0,1, ,30,2,300,.66,40,1459,1,200,90,7,3,30,15,35,10,10,0, ,9450,950,0,4200,800,0,3500,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , ,950,2,0, ,350,1,1,5,96734,2, , , ,1, , , ,1,4,5,3,1,2,1,1, ,mahi-mahi,ono,ahi,aku,shibi,mahi-mahi,aku,shibin,marlin,4,5,5,4,5,4,5,5,5,1,wheres the enforcement?,2,3,2,4,3,1,1,managers do as little as possible to maintain ramp, ,With no daytime guard at UFA is hard to sell fish like before,COVID caused these chances,27,0,0,1,289,175,350,11787,1925,0,60.5536332179931,52.5,4,37.5,1,200, , , , , , , , , , , ,1,1,1,1,0,5,4,0, , , 
