SurveyID,Q15_Primary,Q15_Primary_Report,county,Q10xMEAN,Q11xMEAN,Q12xMEAN,Q13xMEAN,SAFEFishery,Q32x,Q32.1,XSAFEFishery,Q32a.1.1x,Q32a.2.1x,Q32a.4.1x,Q32a.5.1x,AVC1,Q32a.1x,Q32a.2x,Q32a.3x,Q32a.4x,Q32a.5x,Q32a.6x,Q32a.7x,Q32a.8x,Q32a.9x,Q32a.9.1,Q32bx,Q32b.1x,Q32b.2x,Q32b.3
1004,6,4,2,7190,750,0,2000,1,2, ,2,30,4,500,1,341,90,12,4,80,35,20,50,50,0, ,1, , , 
1004,6,4,2,7190,750,0,2000,1,1, ,1,30,0,0,0,90,90,0,0,0,0,0,0,0,0, ,1, , , 
1006,2,1,3,75,1684,25,25,1,1, ,1,40, ,300, ,370,160,20,0,70,0,60,0,60,0, ,1, , , 
1006,2,1,3,75,1684,25,25,2,3, ,3,30, ,300, ,360,100,20,0,70,80,50,0,40,0, ,1, , , 
1010,5,2,2,13300,750,750,750,1,1, ,1,50,3,400,2,360,175,20,0,80,40,20,15,10,0, ,1, , , 
1010,5,2,2,13300,750,750,750,2,3, ,3,30,3,300,1,260,105,20,0,60,20,20,15,20,0, ,1, , , 
1013, , ,2,750,75,25,0,1,1, ,1,50,15,200,4,665,200,50,60,30,100,25,100,100,0, ,1, , , 
1017,5,2,2,750,300,300,75,1,1, ,1,50,2,50,0,205,150,10,5,0,0,20,5,15,0, ,1, , , 
1017,5,2,2,750,300,300,75,1,2, ,2,30,2,50,0,175,120,10,5,0,0,20,15,5,0, ,1, , , 
1019,5,2,3,0,0,750,0,3,4, ,3,10,1,50,1,112,40,4,0,10,8,20,15,15,0, ,1, , , 
1022,2,1,4,750,25,0,0,1,1, ,1,20,2,300,0,427,80,5,1,6,0,15,20,300,0, ,3, ,90, 
1023,2,1,1,750,0,0,0,1,1, ,1,43,6,120,0,285,125,20,0,25,0,15,50,50,0, ,1, , , 
1029, , ,2,3000,25,25,25,3,4, ,3,100, ,1000,4,920,370,0,0,100,100,50,150,150,0, ,1, , , 
1029, , ,2,3000,25,25,25,1,2, ,2,100, ,1000,4,920,370,0,0,100,100,50,150,150,0, ,1, , , 
1034,5,2,4,75,300,75,0,2,3, ,3,150, ,1200, ,798,570,0,8,120,0,100,0,0,0, ,1, , , 
1035,5,2,2,20000,25,25,300,1,2, ,2,60,5,1000,2,610,200,20,20,150,50,100,20,50,0, ,1, , , 
