Grouping,Number of Respondents,0 (lbs),1 to 50 (lbs),51 to 100 (lbs),101 to 500 (lbs),501 to 1000 (lbs),1000 to 5000 (lbs),5000+ (lbs),Mean,Median,,Q10xMEAN Mean lbs of Q10 PELAGIC catch,,,,,,,,
ALL,342,6.7,7.3,6.4,26.9,23.4,20.5,8.8,2428.520468,750,,,,Frequency,Percent,Valid Percent,Cumulative Percent,,,
By County,,,,,,,,,,,,Valid,.00,23,6.7,6.7,6.7,,,
Oahu,121,9.9,10.7,7.4,25.6,19.0,23.1,4.1,1521.421488,300,,,25.00,25,7.2,7.3,14.0,23,6.7%,0 (lbs)
Hawaii,130,3.8,1.5,3.8,26.2,32.3,20.0,12.3,3244.784615,750,,,75.00,22,6.4,6.4,20.5,25,7.3%,1 to 50 (lbs)
Maui,51,7.8,15.7,13.7,31.4,13.7,9.8,7.8,1510.980392,300,,,300.00,92,26.7,26.9,47.4,22,6.4%,51 to 100 (lbs)
Kauai,39,5.1,5.1,2.6,25.6,20.5,28.2,12.8,3776.410256,750,,,750.00,80,23.2,23.4,70.8,92,26.9%,101 to 500 (lbs)
By Primary Fishing Motivation,,,,,,,,,,,,,1001.00,3,0.9,0.9,71.6,80,23.4%,501 to 1000 (lbs)
Recreational Expense,105,5.7,9.5,8.6,23.8,22.9,27.6,1.9,940.4761905,750,,,1200.00,4,1.2,1.2,72.8,70,20.5%,1000 to 5000 (lbs)
Part-Time Commercial,92,9.8,3.3,2.2,27.2,22.8,23.9,10.9,2187.25,750,,,1400.00,2,0.6,0.6,73.4,30,8.8%,5000+ (lbs)
Subsistence,49,8.2,8.2,8.2,36.7,28.6,6.1,4.1,946.9387755,300,,,1500.00,11,3.2,3.2,76.6,342,,
Full-Time Commercial,34,2.9,5.9,2.9,11.8,8.8,23.5,44.1,12149.35294,5000,,,1644.00,1,0.3,0.3,76.9,,,
Purely Recreational,26,3.8,7.7,19.2,50.0,15.4,3.8,0.0,377.8846154,300,,,1709.00,1,0.3,0.3,77.2,,,
Cultural,4,0.0,25.0,0.0,0.0,50.0,0.0,25.0,7881.25,750,,,1800.00,3,0.9,0.9,78.1,,,
By Most Common Gear,,,,,,,,,,,,,1900.00,1,0.3,0.3,78.4,,,
Troll,187,1.1,3.7,8.0,27.8,29.9,20.9,8.6,2406.283422,750,,,2000.00,9,2.6,2.6,81.0,,,
Bait for Pelagic,46,4.3,2.2,2.2,17.4,19.6,32.6,21.7,5654.717391,2000,,,2076.00,1,0.3,0.3,81.3,,,
HL for Deep7 deep,48,8.3,14.6,12.5,35.4,12.5,16.7,0.0,665.3125,300,,,2228.00,1,0.3,0.3,81.6,,,
HL for Deep7 shallow,30,23.3,26.7,0.0,33.3,6.7,10.0,0.0,373.3333333,162.5,,,2347.00,1,0.3,0.3,81.9,,,
Spear,6,50.0,16.7,0.0,33.3,0.0,0.0,0.0,104.1666667,12.5,,,2355.00,1,0.3,0.3,82.2,,,
By Sub-fishery,,,,,,,,,,,,,2500.00,9,2.6,2.6,84.8,,,
Pelagic,327,4.6,6.7,6.7,27.5,24.5,20.8,9.2,2516.449541,750,,,3000.00,10,2.9,2.9,87.7,,,
Deep7 Bottom,198,4.5,9.1,7.6,24.7,19.7,24.7,9.6,2655.550505,750,,,3200.00,1,0.3,0.3,88.0,,,
Non-Deep7 Bottom,200,8.0,8.5,6.5,23.5,20.5,23.0,10.0,2456.36,750,,,3500.00,1,0.3,0.3,88.3,,,
Coral Reef,55,18.2,9.1,5.5,18.2,23.6,12.7,12.7,1698.509091,300,,,4000.00,3,0.9,0.9,89.2,,,
,,,,,,,,,,,,,4275.00,1,0.3,0.3,89.5,,,
,,,,,,,,,,,,,4500.00,2,0.6,0.6,90.1,,,
,,,,,,,,,,,,,5000.00,4,1.2,1.2,91.2,,,
,,,,,,,,,,,,,6000.00,3,0.9,0.9,92.1,,,
,,,,,,,,,,,,,7000.00,2,0.6,0.6,92.7,,,
,,,,,,,,,,,,,7190.00,1,0.3,0.3,93.0,,,
,,,,,,,,,,,,,8000.00,1,0.3,0.3,93.3,,,
,,,,,,,,,,,,,10000.00,4,1.2,1.2,94.4,,,
,,,,,,,,,,,,,12000.00,1,0.3,0.3,94.7,,,
,,,,,,,,,,,,,12683.00,1,0.3,0.3,95.0,,,
,,,,,,,,,,,,,13300.00,1,0.3,0.3,95.3,,,
,,,,,,,,,,,,,15000.00,1,0.3,0.3,95.6,,,
,,,,,,,,,,,,,15839.00,1,0.3,0.3,95.9,,,
,,,,,,,,,,,,,16930.00,1,0.3,0.3,96.2,,,
,,,,,,,,,,,,,18500.00,1,0.3,0.3,96.5,,,
,,,,,,,,,,,,,20000.00,6,1.7,1.8,98.2,,,
,,,,,,,,,,,,,30000.00,3,0.9,0.9,99.1,,,
,,,,,,,,,,,,,40000.00,1,0.3,0.3,99.4,,,
,,,,,,,,,,,,,60000.00,1,0.3,0.3,99.7,,,
,,,,,,,,,,,,,70000.00,1,0.3,0.3,100.0,,,
,,,,,,,,,,,,,Total,342,99.1,100.0,,,,
,,,,,,,,,,,,Missing,System,3,0.9,,,,,
,,,,,,,,,,,,Total,,345,100.0,,,,,
