Grouping,Number of Respondents,0 (lbs),1 to 50 (lbs),51 to 100 (lbs),101 to 500 (lbs),501 to 1000 (lbs),1000 to 5000 (lbs),5000+ (lbs),Mean,Median,,Q10xMEAN Mean lbs of Q10 PELAGIC catch,,,,,,,,
ALL,342,6.7,7.3,6.4,26.9,23.4,20.5,8.8,"2,429",750,100,,,Frequency,Percent,Valid Percent,Cumulative Percent,,,
By County,,,,,,,,,,,0,Valid,0,23,6.7,6.7,6.7,,,
Oahu,121,9.9,10.7,7.4,25.6,19,23.1,4.1,"1,521",300,99.8,,25,25,7.2,7.3,14,23,6.70%,0 (lbs)
Hawaii,130,3.8,1.5,3.8,26.2,32.3,20,12.3,"3,245",750,99.9,,75,22,6.4,6.4,20.5,25,7.30%,1 to 50 (lbs)
Maui,51,7.8,15.7,13.7,31.4,13.7,9.8,7.8,"1,511",300,99.9,,300,92,26.7,26.9,47.4,22,6.40%,51 to 100 (lbs)
Kauai,39,5.1,5.1,2.6,25.6,20.5,28.2,12.8,"3,776",750,99.9,,750,80,23.2,23.4,70.8,92,26.90%,101 to 500 (lbs)
By Primary Fishing Motivation,,,,,,,,,,,0,,1001,3,0.9,0.9,71.6,80,23.40%,501 to 1000 (lbs)
Recreational Expense,105,5.7,9.5,8.6,23.8,22.9,27.6,1.9,940,750,100,,1200,4,1.2,1.2,72.8,70,20.50%,1000 to 5000 (lbs)
Part-Time Commercial,92,9.8,3.3,2.2,27.2,22.8,23.9,10.9,"2,187",750,100.1,,1400,2,0.6,0.6,73.4,30,8.80%,5000+ (lbs)
Subsistence,49,8.2,8.2,8.2,36.7,28.6,6.1,4.1,947,300,100.1,,1500,11,3.2,3.2,76.6,342,,
Full-Time Commercial,34,2.9,5.9,2.9,11.8,8.8,23.5,44.1,"12,149",5000,99.9,,1644,1,0.3,0.3,76.9,,,
Purely Recreational,26,3.8,7.7,19.2,50,15.4,3.8,0,378,300,99.9,,1709,1,0.3,0.3,77.2,,,
Cultural,4,0,25,0,0,50,0,25,"7,881",750,100,,1800,3,0.9,0.9,78.1,,,
By Most Common Gear,,,,,,,,,,,0,,1900,1,0.3,0.3,78.4,,,
Troll,187,1.1,3.7,8,27.8,29.9,20.9,8.6,"2,406",750,100,,2000,9,2.6,2.6,81,,,
Bait for Pelagic,46,4.3,2.2,2.2,17.4,19.6,32.6,21.7,"5,655",2000,100,,2076,1,0.3,0.3,81.3,,,
HL for Deep7 deep,48,8.3,14.6,12.5,35.4,12.5,16.7,0,665,300,100,,2228,1,0.3,0.3,81.6,,,
HL for Deep7 shallow,30,23.3,26.7,0,33.3,6.7,10,0,373,162.5,100,,2347,1,0.3,0.3,81.9,,,
Spear,6,50,16.7,0,33.3,0,0,0,104,12.5,100,,2355,1,0.3,0.3,82.2,,,
By Sub-fishery,,,,,,,,,,,0,,2500,9,2.6,2.6,84.8,,,
Pelagic,327,4.6,6.7,6.7,27.5,24.5,20.8,9.2,"2,516",750,100,,3000,10,2.9,2.9,87.7,,,
Deep7 Bottom,198,4.5,9.1,7.6,24.7,19.7,24.7,9.6,"2,656",750,99.9,,3200,1,0.3,0.3,88,,,
Non-Deep7 Bottom,200,8,8.5,6.5,23.5,20.5,23,10,"2,456",750,100,,3500,1,0.3,0.3,88.3,,,
Coral Reef,55,18.2,9.1,5.5,18.2,23.6,12.7,12.7,"1,699",300,100,,4000,3,0.9,0.9,89.2,,,
,,,,,,,,,,,,,4275,1,0.3,0.3,89.5,,,
,,,,,,,,,,,,,4500,2,0.6,0.6,90.1,,,
,,,,,,,,,,,,,5000,4,1.2,1.2,91.2,,,
,,,,,,,,,,,,,6000,3,0.9,0.9,92.1,,,
,,,,,,,,,,,,,7000,2,0.6,0.6,92.7,,,
,,,,,,,,,,,,,7190,1,0.3,0.3,93,,,
,,,,,,,,,,,,,8000,1,0.3,0.3,93.3,,,
,,,,,,,,,,,,,10000,4,1.2,1.2,94.4,,,
,,,,,,,,,,,,,12000,1,0.3,0.3,94.7,,,
,,,,,,,,,,,,,12683,1,0.3,0.3,95,,,
,,,,,,,,,,,,,13300,1,0.3,0.3,95.3,,,
,,,,,,,,,,,,,15000,1,0.3,0.3,95.6,,,
,,,,,,,,,,,,,15839,1,0.3,0.3,95.9,,,
,,,,,,,,,,,,,16930,1,0.3,0.3,96.2,,,
,,,,,,,,,,,,,18500,1,0.3,0.3,96.5,,,
,,,,,,,,,,,,,20000,6,1.7,1.8,98.2,,,
,,,,,,,,,,,,,30000,3,0.9,0.9,99.1,,,
,,,,,,,,,,,,,40000,1,0.3,0.3,99.4,,,
,,,,,,,,,,,,,60000,1,0.3,0.3,99.7,,,
,,,,,,,,,,,,,70000,1,0.3,0.3,100,,,
,,,,,,,,,,,,,Total,342,99.1,100,,,,
,,,,,,,,,,,,Missing,System,3,0.9,,,,,
,,,,,,,,,,,,Total,,345,100,,,,,
