Grouping,Number of Respondents,0 (lbs),1 to 50 (lbs),51 to 100 (lbs),101 to 500 (lbs),501 to 1000 (lbs),1000 to 5000 (lbs),5000+ (lbs),Mean,Median
ALL,342,43.85964912,19.88304094,9.064327485,13.74269006,8.479532164,4.678362573,0.292397661,259.1929825,25
By County,,,,,,,,,,
Oahu,121,47.10743802,20.66115702,8.26446281,9.917355372,7.438016529,6.611570248,0,195.7107438,25
Hawaii,130,47.69230769,24.61538462,7.692307692,9.230769231,7.692307692,3.076923077,0,187.3769231,25
Maui,51,31.37254902,15.68627451,7.843137255,21.56862745,13.7254902,7.843137255,1.960784314,669.6862745,75
Kauai,39,35.8974359,7.692307692,17.94871795,30.76923077,7.692307692,0,0,165.3846154,75
By Primary Fishing Motivation,,,,,,,,,,
Recreational Expense,105,47.61904762,19.04761905,8.571428571,14.28571429,5.714285714,4.761904762,0,169.1333333,25
Part-Time Commercial,92,47.82608696,17.39130435,9.782608696,11.95652174,8.695652174,4.347826087,0,174.8369565,25
Subsistence,49,40.81632653,20.40816327,14.28571429,18.36734694,6.12244898,0,0,116.8367347,25
Full-Time Commercial,34,35.29411765,17.64705882,2.941176471,5.882352941,20.58823529,14.70588235,2.941176471,1086.764706,25
Purely Recreational,26,46.15384615,34.61538462,7.692307692,3.846153846,7.692307692,0,0,83.65384615,25
Cultural,4,50,0,0,25,25,0,0,262.5,150
By Most Common Gear,,,,,,,,,,
Troll,187,54.01069519,22.45989305,6.951871658,11.22994652,3.743315508,1.604278075,0,96.76470588,0
Bait for Pelagic,46,39.13043478,23.91304348,10.86956522,15.2173913,8.695652174,2.173913043,0,233.6956522,25
HL for Deep7 deep,48,0,2.083333333,14.58333333,29.16666667,29.16666667,22.91666667,2.083333333,1093.729167,750
HL for Deep7 shallow,30,46.66666667,23.33333333,16.66666667,6.666666667,6.666666667,0,0,88.33333333,25
Spear,6,50,50,0,0,0,0,0,12.5,12.5
By Sub-fishery,,,,,,,,,,
Pelagic,327,43.11926606,20.18348624,9.174311927,14.37308869,8.256880734,4.892966361,0,212.5963303,25
Deep7 Bottom,198,13.63636364,26.76767677,14.14141414,22.72727273,14.14141414,8.080808081,0.505050505,437.8484848,75
Non-Deep7 Bottom,200,37,22,9.5,15,11.5,5,0,236.675,25
Coral Reef,55,41.81818182,18.18181818,5.454545455,18.18181818,12.72727273,3.636363636,0,240.4545455,25
