Grouping,Number of Respondents,0 (lbs),1 to 50 (lbs),51 to 100 (lbs),101 to 500 (lbs),501 to 1000 (lbs),1000 to 5000 (lbs),5000+ (lbs),Mean,Median,,Q13xMEAN Mean lbs of Q13 NEARSHORE AND REEF FISH catch,,,,,,,,
ALL,342,39.8,24.9,9.1,17.3,4.7,3.5,0.9, 319 ,25,100,,,Frequency,Percent,Valid Percent,Cumulative Percent,,,
By County,,,,,,,,,,,0,Valid,0,136,39.4,39.8,39.8,0 (lbs),136,39.80%
Oahu,121,31.4,27.3,15.7,14.9,5.8,4.1,0.8, 275 ,25,100,,25,85,24.6,24.9,64.6,1 to 50 (lbs),85,24.90%
Hawaii,130,46.9,23.1,5.4,18.5,3.1,2.3,0.8, 322 ,25,100,,75,31,9,9.1,73.7,51 to 100 (lbs),31,9.10%
Maui,51,41.2,25.5,5.9,19.6,5.9,2.0,0.0, 173 ,25,100,,300,59,17.1,17.3,90.9,101 to 500 (lbs),59,17.30%
Kauai,39,41.0,20.5,5.1,17.9,5.1,7.7,2.6, 648 ,25,100,,750,16,4.6,4.7,95.6,501 to 1000 (lbs),16,4.70%
By Primary Fishing Motivation,,,,,,,,,,,0,,1562,1,0.3,0.3,95.9,1000 to 5000 (lbs),12,3.50%
Recreational Expense,105,46.7,21.9,12.4,16.2,2.9,0.0,0.0, 85 ,25,100,,1644,1,0.3,0.3,96.2,5000+ (lbs),3,0.90%
Part-Time Commercial,92,42.4,14.1,9.8,22.8,5.4,4.3,1.1, 309 ,25,100,,1650,1,0.3,0.3,96.5,,342,
Subsistence,49,28.6,36.7,10.2,14.3,6.1,4.1,0.0, 208 ,25,100,,1700,1,0.3,0.3,96.8,,,
Full-Time Commercial,34,41.2,20.6,8.8,14.7,5.9,2.9,5.9," 1,267 ",25,100,,2000,4,1.2,1.2,98,,,
Purely Recreational,26,38.5,34.6,0.0,23.1,3.8,0.0,0.0, 107 ,25,100,,3000,2,0.6,0.6,98.5,,,
Cultural,4,25.0,25.0,0.0,25.0,0.0,25.0,0.0," 1,331 ",162.5,100,,5000,2,0.6,0.6,99.1,,,
By Most Common Gear,,,,,,,,,,,0,,6793,1,0.3,0.3,99.4,,,
Troll,187,47.6,27.3,9.1,11.2,3.7,1.1,0.0, 93 ,25,100,,12683,1,0.3,0.3,99.7,,,
Bait for Pelagic,46,37.0,17.4,8.7,28.3,4.3,4.3,0.0, 208 ,25,100,,25000,1,0.3,0.3,100,,,
HL for Deep7 deep,48,31.3,35.4,8.3,25.0,0.0,0.0,0.0, 90 ,25,100,,Total,342,99.1,100,,,,
HL for Deep7 shallow,30,20.0,13.3,13.3,30.0,13.3,10.0,0.0, 537 ,300,100,Missing,System,3,0.9,,,,,
Spear,6,16.7,33.3,16.7,0.0,16.7,16.7,0.0, 479 ,50,100,Total,,345,100,,,,,
By Sub-fishery,,,,,,,,,,,0,,,,,,,,,
Pelagic,327,40.7,25.7,8.9,17.1,4.6,2.8,0.3, 201 ,25,100,,,,,,,,,
Deep7 Bottom,198,33.3,27.8,9.1,23.7,3.0,2.5,0.5, 234 ,25,100,,,,,,,,,
Non-Deep7 Bottom,200,21.5,30.0,12.5,24.5,7.5,3.0,1.0, 321 ,25,100,,,,,,,,,
Coral Reef,55,0.0,30.9,12.7,23.6,9.1,18.2,5.5," 1,456 ",300,100,,,,,,,,,
