Grouping,Number of Respondents,1 to 100 ($),101 to 500 ($),501 to 1000 ($),1001 to 2000 ($),2001 to 5000 ($),5001 to 10000 ($),10001 to 20000 ($),20001 to 50000 ($),50000+ ($),Mean,Median,,,,,,,,,,,,,,,,,,,,,,,,
ALL,280,2.5,8.928571429,10.71428571,15.71428571,22.14285714,17.14285714,10,8.571428571,4.285714286,10115.61429,3500,280,2.5,8.9,10.7,15.7,22.1,17.1,10,8.6,4.3,"10,116","3,500",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
By County,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Oahu,93,4.301075269,7.52688172,11.82795699,17.20430108,21.50537634,20.43010753,9.677419355,5.376344086,2.150537634,7172.591398,3500,93,4.3,7.5,11.8,17.2,21.5,20.4,9.7,5.4,2.2,"7,173","3,500",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Hawaii,109,0.917431193,9.174311927,10.09174312,14.67889908,22.01834862,15.59633028,11.9266055,9.174311927,6.422018349,12704.77064,3500,109,0.9,9.2,10.1,14.7,22,15.6,11.9,9.2,6.4,"12,705","3,500",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Maui,44,2.272727273,11.36363636,9.090909091,18.18181818,25,13.63636364,6.818181818,11.36363636,2.272727273,9046.590909,3500,44,2.3,11.4,9.1,18.2,25,13.6,6.8,11.4,2.3,"9,047","3,500",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Kauai,33,3.03030303,9.090909091,12.12121212,12.12121212,21.21212121,18.18181818,6.060606061,12.12121212,6.060606061,11134.87879,3500,33,3,9.1,12.1,12.1,21.2,18.2,6.1,12.1,6.1,"11,135","3,500",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
By Primary Fishing Motivation,,,,,,,,,,,,,By Primary Fishing Motivation,,,,,,,,,,,,#VALUE!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Recreational Expense,92,2.173913043,11.95652174,15.2173913,20.65217391,25,18.47826087,5.434782609,1.086956522,0,3917.391304,2500,92,2.2,12,15.2,20.7,25,18.5,5.4,1.1,0,"3,917","2,500",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Part-Time Commercial,87,1.149425287,4.597701149,5.747126437,12.64367816,28.73563218,21.83908046,13.79310345,11.49425287,0,8982.758621,3500,87,1.1,4.6,5.7,12.6,28.7,21.8,13.8,11.5,0,"8,983","3,500",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Subsistence,27,7.407407407,14.81481481,14.81481481,14.81481481,25.92592593,3.703703704,11.11111111,3.703703704,3.703703704,6381.518519,1500,27,7.4,14.8,14.8,14.8,25.9,3.7,11.1,3.7,3.7,"6,382","1,500",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Full-Time Commercial,34,2.941176471,2.941176471,2.941176471,5.882352941,2.941176471,14.70588235,14.70588235,20.58823529,32.35294118,35709.44118,35000,34,2.9,2.9,2.9,5.9,2.9,14.7,14.7,20.6,32.4,"35,709","35,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Purely Recreational,9,11.11111111,33.33333333,22.22222222,11.11111111,0,11.11111111,11.11111111,0,0,2938.888889,750,9,11.1,33.3,22.2,11.1,0,11.1,11.1,0,0,"2,939",750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Cultural,4,0,0,0,0,50,0,0,50,0,19250,19250,4,0,0,0,0,50,0,0,50,0,"19,250","19,250",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
By Most Common Gear,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
