Grouping,Number of Respondents,0 ($),1 to 100 ($),101 to 500 ($),501 to 1000 ($),1001 to 2000 ($),2001 to 5000 ($),5001 to 10000 ($),10001 to 20000 ($),20001 to 50000 ($),50000+ ($),Mean,Median
ALL,271,57.93357933579336,8.118081180811808,10.70110701107011,6.273062730627306,6.273062730627306,5.535055350553505,3.6900369003690034,1.107011070110701,0.36900369003690037,0,870.9173062730628,0
By County,,,,,,,,,,,,,
Oahu,92,47.82608695652174,10.869565217391305,11.956521739130435,9.782608695652174,6.521739130434782,6.521739130434782,4.3478260869565215,1.0869565217391304,1.0869565217391304,0,1160.8373913043479,26.25
Hawaii,103,69.90291262135922,3.8834951456310676,9.70873786407767,5.825242718446602,3.8834951456310676,2.912621359223301,2.912621359223301,0.9708737864077669,0,0,621.7699029126213,0
Maui,42,59.523809523809526,14.285714285714285,7.142857142857142,0,7.142857142857142,7.142857142857142,4.761904761904762,0,0,0,674.2857142857143,0
Kauai,33,45.45454545454545,6.0606060606060606,15.151515151515152,6.0606060606060606,12.121212121212121,9.090909090909092,3.0303030303030303,3.0303030303030303,0,0,1116.9469696969697,75
By Primary Fishing Motivation,,,,,,,,,,,,,
Recreational Expense,89,62.92134831460674,8.98876404494382,10.112359550561797,10.112359550561797,3.3707865168539324,3.3707865168539324,1.1235955056179776,0,0,0,368.2584269662921,0
Part-Time Commercial,84,59.523809523809526,5.952380952380952,10.714285714285714,5.952380952380952,5.952380952380952,7.142857142857142,4.761904761904762,0,0,0,715.952380952381,0
Subsistence,27,44.44444444444444,14.814814814814813,18.51851851851852,0,14.814814814814813,3.7037037037037033,0,0,3.7037037037037033,0,1255.2259259259258,75
Full-Time Commercial,33,45.45454545454545,0,3.0303030303030303,6.0606060606060606,12.121212121212121,9.090909090909092,15.151515151515152,9.090909090909092,0,0,3013.939393939394,750
Purely Recreational,9,66.66666666666666,11.11111111111111,11.11111111111111,11.11111111111111,0,0,0,0,0,0,143.33333333333334,0
Cultural,4,75,0,0,0,0,25,0,0,0,0,875,0
By Most Common Gear,,,,,,,,,,,,,
Troll,137,64.23357664233576,10.218978102189782,12.408759124087592,3.64963503649635,5.109489051094891,1.4598540145985401,1.4598540145985401,0.7299270072992701,0.7299270072992701,0,569.3762043795621,0
Bait for Pelagic,43,60.46511627906976,0,4.651162790697675,11.627906976744185,6.976744186046512,9.30232558139535,4.651162790697675,2.3255813953488373,0,0,1129.074418604651,0
HL for Deep7 deep,40,45,15,17.5,7.5,7.5,5,0,2.5,0,0,889.6825,56.25
HL for Deep7 shallow,21,23.809523809523807,9.523809523809524,0,4.761904761904762,19.047619047619047,23.809523809523807,19.047619047619047,0,0,0,2389.002380952381,1320
Spear,5,20,0,40,40,0,0,0,0,0,0,451.5,375
By Sub-fishery,,,,,,,,,,,,,
Pelagic,261,59.00383141762452,8.42911877394636,10.727969348659004,6.130268199233716,6.130268199233716,5.363984674329502,2.681992337164751,1.1494252873563218,0.38314176245210724,0,801.3164367816092,0
Deep7 Bottom,159,54.71698113207547,9.433962264150944,11.320754716981133,8.176100628930817,6.918238993710692,4.40251572327044,2.515723270440252,1.8867924528301887,0.628930817610063,0,950.3055974842767,0
Non-Deep7 Bottom,165,40.60606060606061,12.727272727272727,14.545454545454545,9.696969696969697,7.878787878787878,6.666666666666667,5.454545454545454,1.8181818181818181,0.6060606060606061,0,1252.0217575757576,75
Coral Reef,48,43.75,12.5,10.416666666666668,12.5,10.416666666666668,6.25,4.166666666666666,0,0,0,751.8552083333333,75
