Grouping,Number of Respondents,fewer than 12 trips,12 to 24 trips,25 to 49 trips,50 to 99 trips,100+ trips,Mean,Median
ALL,343,22.448979591836736,32.94460641399417,23.61516034985423,14.285714285714285,6.705539358600583,40.309037900874635,18
By County,,,,,,,,
Oahu,122,24.59016393442623,31.147540983606557,28.688524590163933,10.655737704918032,4.918032786885246,35.204918032786885,18
Hawaii,130,19.230769230769234,33.07692307692307,16.923076923076923,20.76923076923077,10,50.09230769230769,20
Maui,50,26,44,20,10,0,23.7,18
Kauai,39,23.076923076923077,23.076923076923077,33.33333333333333,10.256410256410255,10.256410256410255,45.61538461538461,32
By Primary Fishing Motivation,,,,,,,,
Recreational Expense,106,24.528301886792452,36.79245283018868,25.471698113207548,9.433962264150944,3.7735849056603774,32,18
Part-Time Commercial,93,16.129032258064516,32.25806451612903,25.806451612903224,20.43010752688172,5.376344086021505,42.54838709677419,30
Subsistence,48,37.5,33.33333333333333,22.916666666666664,4.166666666666666,2.083333333333333,21.8125,18
Full-Time Commercial,34,11.76470588235294,5.88235294117647,14.705882352941178,32.35294117647059,35.294117647058826,110.26470588235294,75
Purely Recreational,26,26.923076923076923,46.15384615384615,19.230769230769234,7.6923076923076925,0,22.346153846153847,18
Cultural,4,25,25,0,25,25,51.5,50
By Most Common Gear,,,,,,,,
Troll,187,25.13368983957219,35.82887700534759,24.598930481283425,11.229946524064172,3.2085561497326207,31.802139037433154,18
Bait for Pelagic,48,10.416666666666668,25,16.666666666666664,33.33333333333333,14.583333333333334,65,36
HL for Deep7 deep,47,29.78723404255319,42.5531914893617,12.76595744680851,10.638297872340425,4.25531914893617,32.148936170212764,18
HL for Deep7 shallow,30,16.666666666666664,36.666666666666664,23.333333333333332,10,13.333333333333334,45.833333333333336,21
Spear,6,33.33333333333333,0,50,16.666666666666664,0,31.833333333333332,34
By Sub-fishery,,,,,,,,
Pelagic,328,22.5609756097561,32.926829268292686,23.78048780487805,14.02439024390244,6.707317073170732,40.173780487804876,18
Deep7 Bottom,197,23.85786802030457,30.96446700507614,22.33502538071066,15.228426395939088,7.614213197969544,41.7258883248731,18
Non-Deep7 Bottom,201,20.8955223880597,27.860696517412936,26.368159203980102,16.91542288557214,7.960199004975125,44.885572139303484,26
Coral Reef,55,10.909090909090908,27.27272727272727,34.54545454545455,18.181818181818183,9.090909090909092,49.654545454545456,36
