Grouping,Number of Respondents,1 (person),2 (person),3 (person),4+ (person),Mean,Median
ALL,311,24.115755627009648,51.76848874598071,20.257234726688104,3.858520900321544,2.0739549839228295,2
By County,,,,,,,
Oahu,114,21.052631578947366,50.877192982456144,22.807017543859647,5.263157894736842,2.219298245614035,2
Hawaii,117,23.076923076923077,57.26495726495726,15.384615384615385,4.273504273504273,2.0085470085470085,2
Maui,46,23.91304347826087,47.82608695652174,26.08695652173913,2.1739130434782608,2.0652173913043477,2
Kauai,33,39.39393939393939,42.42424242424242,18.181818181818183,0,1.7878787878787878,2
By Primary Fishing Motivation,,,,,,,
Recreational Expense,98,21.428571428571427,51.02040816326531,21.428571428571427,6.122448979591836,2.193877551020408,2
Part-Time Commercial,85,29.411764705882355,54.11764705882353,14.117647058823529,2.3529411764705883,1.9411764705882353,2
Subsistence,44,13.636363636363635,54.54545454545454,31.818181818181817,0,2.1818181818181817,2
Full-Time Commercial,30,46.666666666666664,40,13.333333333333334,0,1.6666666666666667,2
Purely Recreational,24,12.5,50,29.166666666666668,8.333333333333332,2.3333333333333335,2
Cultural,2,0,50,0,50,3,3
By Most Common Gear,,,,,,,
Troll,168,19.047619047619047,50.595238095238095,25,5.357142857142857,2.2142857142857144,2
Bait for Pelagic,40,22.5,62.5,12.5,2.5,1.95,2
HL for Deep7 deep,45,28.888888888888886,53.333333333333336,17.77777777777778,0,1.8888888888888888,2
HL for Deep7 shallow,27,40.74074074074074,51.85185185185185,3.7037037037037033,3.7037037037037033,1.8148148148148149,2
Spear,6,16.666666666666664,33.33333333333333,33.33333333333333,16.666666666666664,2.5,2.5
By Sub-fishery,,,,,,,
Pelagic,296,23.31081081081081,52.02702702702703,20.60810810810811,4.054054054054054,2.0912162162162162,2
Deep7 Bottom,180,26.666666666666668,53.888888888888886,17.22222222222222,2.2222222222222223,1.95,2
Non-Deep7 Bottom,181,25.41436464088398,50.27624309392266,20.441988950276244,3.867403314917127,2.0552486187845305,2
Coral Reef,50,20,50,28.000000000000004,2,2.12,2
