Grouping,Number of Respondents,1 (person),2 (person),3 (person),4+ (person),Mean,Median
ALL,311,24.1,51.8,20.3,3.9,2.1,2.0
By County,,,,,,,
Oahu,114,21.1,50.9,22.8,5.3,2.2,2.0
Hawaii,117,23.1,57.3,15.4,4.3,2.0,2.0
Maui,46,23.9,47.8,26.1,2.2,2.1,2.0
Kauai,33,39.4,42.4,18.2,0.0,1.8,2.0
By Primary Fishing Motivation,,,,,,,
Recreational Expense,98,21.4,51.0,21.4,6.1,2.2,2.0
Part-Time Commercial,85,29.4,54.1,14.1,2.4,1.9,2.0
Subsistence,44,13.6,54.5,31.8,0.0,2.2,2.0
Full-Time Commercial,30,46.7,40.0,13.3,0.0,1.7,2.0
Purely Recreational,24,12.5,50.0,29.2,8.3,2.3,2.0
Cultural,2,0.0,50.0,0.0,50.0,3.0,3.0
By Most Common Gear,,,,,,,
Troll,168,19.0,50.6,25.0,5.4,2.2,2.0
Bait for Pelagic,40,22.5,62.5,12.5,2.5,2.0,2.0
HL for Deep7 deep,45,28.9,53.3,17.8,0.0,1.9,2.0
HL for Deep7 shallow,27,40.7,51.9,3.7,3.7,1.8,2.0
Spear,6,16.7,33.3,33.3,16.7,2.5,2.5
By Sub-fishery,,,,,,,
Pelagic,296,23.3,52.0,20.6,4.1,2.1,2.0
Deep7 Bottom,180,26.7,53.9,17.2,2.2,2.0,2.0
Non-Deep7 Bottom,181,25.4,50.3,20.4,3.9,2.1,2.0
Coral Reef,50,20.0,50.0,28.0,2.0,2.1,2.0
