Grouping,Number of Respondents,1 to 20.4,20.5 to 50.4,50.5 to 100.4,100.5+,Mean,Median,,,,,,,,,,,,,,
ALL,278,9.4,17.6,15.1,57.9,305.7914408,151.1942527,278,27,15.1,43.9,14,305.8,151.2,0.0,0.0,0.0,0.0,,0.0,0.0
By County,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0
Oahu,93,14.0,15.1,14.0,57.0,268.2062089,125,93,29,14,45.2,11.8,268.2,125,0.0,0.0,0.0,0.0,,0.0,0.0
Hawaii,108,5.6,21.3,17.6,55.6,310.4817128,150.1072961,108,26.9,17.6,43.5,12,310.5,150.1,0.0,0.0,0.0,0.1,,0.0,0.0
Maui,43,9.3,11.6,16.3,62.8,376.6597453,194.4444444,43,20.9,16.3,41.9,20.9,376.7,194.4,0.0,0.0,0.0,0.0,,0.0,0.0
Kauai,33,9.1,21.2,9.1,60.6,300.660073,129.6296296,33,30.3,9.1,42.4,18.2,300.7,129.6,0.0,0.0,0.0,0.0,,0.0,0.0
By Primary Fishing Motivation,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0
Recreational Expense,92,12.0,20.7,14.1,53.3,165.4551652,120.8333333,92,32.6,14.1,50,3.3,165.5,120.8,0.0,0.0,0.0,0.0,,0.0,0.0
Part-Time Commercial,86,4.7,15.1,15.1,65.1,283.6517408,194.4444444,86,19.8,15.1,48.8,16.3,283.7,194.4,0.0,0.0,0.0,0.0,,0.0,0.0
Subsistence,26,15.4,23.1,19.2,42.3,325.6876233,97.22222222,26,38.5,19.2,23.1,19.2,325.7,97.2,0.0,0.0,0.0,0.0,,0.0,0.0
Full-Time Commercial,34,8.8,8.8,8.8,73.5,502.6162806,268.2403433,34,17.6,8.8,44.1,29.4,502.6,268.2,0.0,0.0,0.0,0.0,,0.0,0.0
Purely Recreational,9,22.2,44.4,11.1,22.2,143.345679,50,9,66.7,11.1,11.1,11.1,143.3,50,0.0,0.0,0.0,0.0,,0.0,0.0
Cultural,4,0.0,0.0,0.0,100.0,386.4583333,393.75,4,0,0,75,25,386.5,393.8,0.0,0.0,0.0,0.0,,0.0,-0.1
By Most Common Gear,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0
Troll,144,10.4,20.8,14.6,54.2,257.372882,127.3148148,144,31.3,14.6,41,13.2,257.4,127.3,0.0,-0.1,0.0,0.0,,0.0,0.0
Bait for Pelagic,43,7.0,11.6,16.3,65.1,519.3994117,194.4444444,43,18.6,16.3,46.5,18.6,519.4,194.4,0.0,0.0,0.0,0.0,,0.0,0.0
HL for Deep7 deep,39,5.1,12.8,7.7,74.4,384.2807399,200,39,17.9,7.7,53.8,20.5,384.3,200,0.0,0.0,0.0,0.1,,0.0,0.0
HL for Deep7 shallow,22,18.2,13.6,27.3,40.9,156.4682369,97.22222222,22,31.8,27.3,40.9,0,156.5,97.2,0.0,0.0,0.0,0.0,,0.0,0.0
Spear,5,20.0,40.0,0.0,40.0,84.20833333,46.875,5,60,0,40,0,84.2,46.9,0.0,0.0,0.0,0.0,,0.0,0.0
By Sub-fishery,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0
Pelagic,266,9.8,18.4,15.0,56.8,304.7695026,150.1072961,266,28.2,15,42.5,14.3,304.8,150.1,0.0,0.0,0.0,0.0,,0.0,0.0
Deep7 Bottom,160,7.5,18.1,14.4,60.0,351.3883933,194.4444444,160,25.6,14.4,43.8,16.3,351.4,194.4,0.0,0.0,0.0,-0.1,,0.0,0.0
Non-Deep7 Bottom,167,9.0,19.2,19.2,52.7,342.1121759,125,167,28.1,19.2,38.3,14.4,342.1,125,0.0,0.0,0.0,0.0,,0.0,0.0
Coral Reef,50,4.0,20.0,20.0,56.0,257.8207999,170.1388889,50,24,20,48,8,257.8,170.1,0.0,0.0,0.0,0.0,,0.0,0.0
