Grouping,Number of Respondents,1 to 49 (%),50 to 59 (%),60 to 69 (%),70 to 79 (%),80 to 89 (%),90 to 100 (%),Mean,Median
ALL,55,18.2,25.5,9.1,14.5,16.4,16.4,60.6,66
By County,,,,,,,,,
Oahu,25,20.0,20.0,12.0,20.0,16.0,12.0,59.6,66
Hawaii,20,20.0,25.0,5.0,15.0,10.0,25.0,60.9,65
Maui,7,14.3,42.9,0.0,0.0,28.6,14.3,60.0,50
Kauai,3,0.0,33.3,33.3,0.0,33.3,0.0,68.3,66
By Primary Fishing Motivation,,,,,,,,,
Recreational Expense,20,25.0,25.0,15.0,10.0,20.0,5.0,54.2,55
Part-Time Commercial,13,15.4,15.4,7.7,15.4,30.8,15.4,66.5,75
Subsistence,7,0.0,42.9,14.3,14.3,0.0,28.6,67.3,66
Full-Time Commercial,5,20.0,20.0,0.0,20.0,0.0,40.0,63.0,70
Purely Recreational,6,33.3,33.3,0.0,16.7,0.0,16.7,50.8,50
Cultural,1,0.0,0.0,0.0,0.0,100.0,0.0,85.0,85
By Most Common Gear,,,,,,,,,
Troll,29,20.7,27.6,10.3,6.9,20.7,13.8,58.9,60
Bait for Pelagic,5,40.0,0.0,0.0,0.0,0.0,60.0,58.0,90
HL for Deep7 deep,8,25.0,12.5,0.0,12.5,37.5,12.5,63.8,77.5
HL for Deep7 shallow,4,0.0,25.0,50.0,25.0,0.0,0.0,61.5,63
Spear,3,0.0,100.0,0.0,0.0,0.0,0.0,50.0,50
By Sub-fishery,,,,,,,,,
Pelagic,54,18.5,25.9,7.4,14.8,16.7,16.7,60.6,66
Deep7 Bottom,33,15.2,21.2,12.1,15.2,18.2,18.2,63.2,70
Non-Deep7 Bottom,29,24.1,27.6,10.3,10.3,17.2,10.3,55.9,50
Coral Reef,5,20.0,60.0,0.0,0.0,20.0,0.0,55.0,50
