,,All Respondents,Pelagic,Bottomfish,Reef
Number of BOAT fishing trips (%),Number of respondents (n),343,328,262,55
,< 11  trips,22.448979591836736,22.5609756097561,23.282442748091604,10.909090909090908
,12-24  trips,32.94460641399417,32.926829268292686,29.00763358778626,27.27272727272727
,25-49  trips,23.61516034985423,23.78048780487805,23.66412213740458,34.54545454545455
,50-99  trips,14.285714285714285,14.02439024390244,16.412213740458014,18.181818181818183
,100+  trips,6.705539358600583,6.707317073170732,7.633587786259542,9.090909090909092
,Mean,40.309037900874635,40.173780487804876,42.908396946564885,49.654545454545456
Number of gears used,Number of respondents (n),340,326,262,55
,One,8.529411764705882,6.441717791411043,1.5267175572519083,7.2727272727272725
,Two,23.235294117647058,23.006134969325153,11.83206106870229,7.2727272727272725
,Three,30.58823529411765,31.28834355828221,37.786259541984734,14.545454545454545
,Four,25.882352941176475,26.993865030674847,33.587786259541986,23.636363636363637
,Five+,11.76470588235294,12.269938650306749,15.267175572519085,47.27272727272727
,Mean,3.114705882352941,3.1809815950920246,3.5229007633587788,4.090909090909091
Number of people (including yourself) on board for an average trip,Number of respondents (n),311,296,240,50
,One,24.115755627009648,23.31081081081081,25.416666666666664,20
,Two,51.76848874598071,52.02702702702703,51.24999999999999,50
,Three,20.257234726688104,20.60810810810811,19.583333333333332,28.000000000000004
,Four,2.572347266881029,2.7027027027027026,2.9166666666666665,2
,Five+,1.2861736334405145,1.3513513513513513,0.8333333333333334,
,Mean,2.0739549839228295,2.0912162162162162,2.0375,2.12
Others use boat without you,Number of respondents (n),330,315,252,53
,0%,85.15151515151516,84.44444444444444,84.92063492063492,84.90566037735849
,1%-9%,7.575757575757576,7.936507936507936,8.333333333333332,5.660377358490567
,10%-39%,2.1212121212121215,2.2222222222222223,1.984126984126984,3.7735849056603774
,40%-59%,1.5151515151515151,1.5873015873015872,1.5873015873015872,1.8867924528301887
,60%-89%+,1.5151515151515151,1.5873015873015872,1.1904761904761905,1.8867924528301887
,90%-100%+,2.1212121212121215,2.2222222222222223,1.984126984126984,1.8867924528301887
,Mean,4.818181818181818,5.0476190476190474,4.484126984126984,5.377358490566038
Percent of fishing trips fished at Fishing Aggregating Devices,Number of respondents (n),340,325,259,53
,0%,14.117647058823529,12,15.444015444015443,20.754716981132077
,1%-9%,17.647058823529413,17.846153846153847,19.305019305019304,20.754716981132077
,10%-39%,23.52941176470588,23.692307692307693,24.324324324324326,20.754716981132077
,40%-59%,17.058823529411764,17.846153846153847,16.216216216216218,15.09433962264151
,60%-89%+,15.88235294117647,16.307692307692307,15.83011583011583,15.09433962264151
,90%-100%+,11.76470588235294,12.307692307692308,8.880308880308881,7.547169811320755
,Mean,38.38235294117647,39.66153846153846,35.463320463320464,32.264150943396224
Percent of fishing time fished at Fish Aggregating Devices,Number of respondents (n),290,285,218,42
,0%,1.0344827586206897,0.7017543859649122,0.9174311926605505,2.380952380952381
,1%-9%,24.137931034482758,24.561403508771928,25.688073394495415,23.809523809523807
,10%-39%,31.724137931034484,31.2280701754386,29.357798165137616,16.666666666666664
,40%-59%,24.82758620689655,25.263157894736842,25.229357798165136,33.33333333333333
,60%-89%+,11.724137931034482,11.578947368421053,12.385321100917432,16.666666666666664
,90%-100%+,6.551724137931035,6.666666666666667,6.422018348623854,7.142857142857142
,Mean,36.56896551724138,36.68421052631579,36.62844036697248,41.30952380952381
Percent of value of fish sold from pelagic fish,Number of respondents (n),277,267,217,50
,0%,11.913357400722022,9.363295880149813,12.903225806451612,20
,1%-9%,8.664259927797833,8.614232209737828,10.138248847926267,14.000000000000002
,10%-39%,14.079422382671481,14.232209737827715,17.51152073732719,14.000000000000002
,40%-59%,10.830324909747292,11.235955056179774,13.36405529953917,16
,60%-89%+,16.60649819494585,17.228464419475657,19.35483870967742,18
,90%-100%,37.90613718411552,39.325842696629216,26.72811059907834,18
,Mean,57.986714801444045,60.10232209737828,50.60516129032258,41.8166
Percent of value of fish sold from deep 7 fish,Number of respondents (n),277,267,217,50
,0%,52.34657039711191,51.68539325842697,40.55299539170507,48
,1%-9%,12.996389891696749,13.48314606741573,15.668202764976957,18
,10%-39%,13.357400722021662,13.48314606741573,16.589861751152075,16
,40%-59%,7.9422382671480145,8.239700374531834,10.138248847926267,10
,60%-89%+,9.386281588447654,9.363295880149813,11.981566820276496,4
,90%-100%,3.9711191335740073,3.7453183520599254,5.0691244239631335,4
,Mean,17.79537906137184,17.694082397003744,22.618986175115207,15.1166
Percent of value of fish sold from shallow bottomfish,Number of respondents (n),277,267,217,50
,0%,57.761732851985556,58.80149812734082,48.8479262672811,42
,1%-9%,18.772563176895307,18.726591760299627,22.119815668202765,24
,10%-39%,15.884476534296029,16.10486891385768,19.81566820276498,20
,40%-59%,3.9711191335740073,3.7453183520599254,5.0691244239631335,8
,60%-89%+,1.444043321299639,1.1235955056179776,1.8433179723502304,2
,90%-100%,2.166064981949458,1.4981273408239701,2.3041474654377883,4
,Mean,8.966859205776172,8.029288389513109,10.860921658986175,13.4266
Percent of value of fish sold from nearshore and reef fish,Number of respondents (n),277,267,217,50
,0%,76.17328519855594,76.77902621722846,72.35023041474655,50
,1%-9%,9.747292418772563,10.112359550561797,11.981566820276496,10
,10%-39%,6.4981949458483745,6.741573033707865,7.834101382488479,14.000000000000002
,40%-59%,3.2490974729241873,2.9962546816479403,3.686635944700461,10
,60%-89%+,0.7220216606498195,0.7490636704119851,0.9216589861751152,4
,90%-100%,3.6101083032490973,2.6217228464419478,3.225806451612903,12
,Mean,7.362815884476534,6.365168539325842,7.6658986175115205,22.34
Percent of income from the sale of fish,Number of respondents (n),286,274,221,52
,0%,16.083916083916083,16.78832116788321,15.837104072398189,15.384615384615385
,1%-9%,41.95804195804196,42.700729927007295,39.366515837104075,28.846153846153843
,10%-39%,22.727272727272727,22.62773722627737,26.244343891402718,30.76923076923077
,40%-59%,9.44055944055944,8.75912408759124,9.502262443438914,15.384615384615385
,60%-89%+,2.097902097902098,1.824817518248175,1.809954751131222,3.8461538461538463
,90%-100%,7.6923076923076925,7.2992700729927,7.239819004524888,5.769230769230769
,Mean,21.38111888111888,20.474452554744527,21.5158371040724,25.192307692307693
Percent of your fishing trips occurred in state waters,Number of respondents (n),333,318,256,54
,0%,2.7027027027027026,2.8301886792452833,2.34375,
,1%-9%,14.414414414414415,14.465408805031446,11.71875,7.4074074074074066
,10%-39%,13.513513513513514,13.836477987421384,14.84375,16.666666666666664
,40%-59%,28.82882882882883,29.874213836477985,31.25,29.629629629629626
,60%-89%+,12.312312312312311,12.89308176100629,12.890625,7.4074074074074066
,90%-100%,28.22822822822823,26.10062893081761,26.953125,38.88888888888889
,Mean,54.63963963963964,53.5377358490566,54.8359375,62.5
Percent of your fishing trips occured in federal waters,Number of respondents (n),333,318,256,54
,0%,20.42042042042042,18.867924528301888,17.1875,27.77777777777778
,1%-9%,6.306306306306306,5.660377358490567,7.8125,11.11111111111111
,10%-39%,12.012012012012011,12.578616352201259,12.890625,5.555555555555555
,40%-59%,27.627627627627625,28.61635220125786,29.296875,29.629629629629626
,60%-89%+,14.414414414414415,14.779874213836477,16.015625,16.666666666666664
,90%-100%,19.21921921921922,19.49685534591195,16.796875,9.25925925925926
,Mean,45.36036036036036,46.4622641509434,45.1640625,37.5
"Catch disposition, consumed at home",Number of respondents (n),331,316,253,51
,0%,2.416918429003021,1.5822784810126582,1.9762845849802373,1.9607843137254901
,1%-9%,24.773413897280967,24.367088607594937,24.110671936758894,29.411764705882355
,10%-39%,43.80664652567976,44.936708860759495,46.24505928853755,41.17647058823529
,40%-59%,19.335347432024168,19.303797468354432,18.972332015810274,21.568627450980394
,60%-89%+,6.646525679758309,6.6455696202531636,5.928853754940711,3.9215686274509802
,90%-100%,3.0211480362537766,3.1645569620253164,2.766798418972332,1.9607843137254901
,Mean,27.31380664652568,27.619841772151897,26.600355731225296,24.515686274509804
"Catch disposition, consumed at home",Number of respondents (n),331,316,253,51
