Category,Description,Number of respondents,Mean,Standard error,Median,Percentage of total cost
Boat Fuel,Recreational expense,173,114.45086705202313,6.739334731584618,100,41.61718495475708
,Part time commericial,142,113.84366197183098,6.938135554118605,100,40.74299035977569
,Subsistence,80,104.6125,9.021309051877875,86,39.91662771508428
,Full time commericial,57,132.42105263157896,16.258253106975832,100,37.88966417348527
,Purely recreational,43,96.13953488372093,20.26528329364269,50,40.93879976232917
,Cultural,6,340,92.55628917943214,275,39.42028985507247
Truck Fuel,Recreational expense,173,19.1242774566474,1.2430419061143114,18.5,6.954063455697666
,Part time commericial,142,23.17394366197183,1.5255064053636023,20,8.293617289395753
,Subsistence,80,19.8275,1.8192900748869814,18.5,7.565510202134865
,Full time commericial,57,21.63157894736842,2.3176114955818714,20,6.189448320867426
,Purely recreational,43,15.023255813953488,3.044972686632838,10,6.397306397306397
,Cultural,6,53.333333333333336,29.851484236317482,20,6.183574879227054
Oil,Recreational expense,173,4.832369942196531,0.8019782204114857,0,1.7571700314230765
,Part time commericial,142,4.5,0.6526151261247846,0,1.6104845315355047
,Subsistence,80,3.95,0.7471252923918755,0,1.507187759345995
,Full time commericial,57,6.7894736842105265,1.694517335058223,2,1.9426735605642287
,Purely recreational,43,4.8604651162790695,1.2382700554305186,0,2.069716775599128
,Cultural,6,40.833333333333336,18.991957362116324,17.5,4.734299516908213
Ice,Recreational expense,173,30.167630057803468,2.013065091743109,25,10.969701428226122
,Part time commericial,142,33.38028169014085,2.5729149536939198,25,11.946317182282149
,Subsistence,80,31.1125,2.832898599994024,21,11.871488395608171
,Full time commericial,57,54.96491228070175,7.532259980990334,40,15.727122132423071
,Purely recreational,43,24.023255813953487,3.7998788189707717,20,10.229748465042581
,Cultural,6,81.66666666666667,43.69719034954587,40,9.468599033816426
Bait,Recreational expense,173,24.54913294797688,2.341025775023256,20,8.926675984992592
,Part time commericial,142,24.802816901408452,2.2179298477570124,20,8.876567324050153
,Subsistence,80,22.5,3.5545923229364123,20,8.585246730451871
,Full time commericial,57,32.64912280701754,4.343021598963851,26,9.34190050700266
,Purely recreational,43,14.511627906976743,3.9648751400258178,5,6.17944147355912
,Cultural,6,56.666666666666664,19.60725489313699,60,6.570048309178745
Food and beverage,Recreational expense,173,27.6242774566474,1.8096141917945687,20,10.044875095898185
,Part time commericial,142,24.669014084507044,1.6383587951370202,20,8.8286812425178
,Subsistence,80,28.875,2.902660008781993,20,11.0177333040799
,Full time commericial,57,26.54385964912281,2.928028729409899,24,7.595000250991416
,Purely recreational,43,21.46511627906977,2.1039826278629707,20,9.140423846306199
,Cultural,6,115,54.451813560247935,85,13.333333333333334
Daily maintenance and repair,Recreational expense,173,26.283236994219653,3.162156088188584,20,9.557239393398003
,Part time commericial,142,24.154929577464788,2.8807986178697735,20,8.64469787663033
,Subsistence,80,23.3,4.988543837659759,10,8.890499947534604
,Full time commericial,57,31.24561403508772,5.99756010863904,20,8.940314241252949
,Purely recreational,43,16.209302325581394,2.7473047578465026,10,6.902356902356901
,Cultural,6,73.33333333333333,46.01931961445951,35,8.502415458937197
Gear lost,Recreational expense,173,24.277456647398843,3.0348974120084646,15,8.827887717675743
,Part time commericial,142,23.323943661971832,2.9768116133638456,12,8.347300107113604
,Subsistence,80,18.775,2.6416200797180545,10,7.163911438410393
,Full time commericial,57,40.70175438596491,10.725381699579723,20,11.646001706741629
,Purely recreational,43,25.627906976744185,6.321142015899977,10,10.913052089522678
,Cultural,6,85,45.36885862938733,50,9.855072463768117
Other,Recreational expense,173,3.699421965317919,1.7278194134419882,0,1.3452019379315419
,Part time commericial,142,7.570422535211268,3.014853481194073,0,2.709344086699011
,Subsistence,80,9.125,4.534305767972463,0,3.481794507349925
,Full time commericial,57,2.543859649122807,1.7925056627600062,0,0.7278751066713518
,Purely recreational,43,16.976744186046513,11.356377866270588,0,7.229154287977818
,Cultural,6,16.666666666666668,10.540925533894598,0,1.9323671497584543
Total trip cost,Recreational expense,173,275.0086705202312,14.549817699425342,243,100
,Part time commericial,142,279.41901408450707,15.21660344527145,242,100
,Subsistence,80,262.0775,18.96106578606991,224,100
,Full time commericial,57,349.49122807017545,31.553760493125534,280,100
,Purely recreational,43,234.8372093023256,30.976197953940076,203,100
,Cultural,6,862.5,242.07350811960683,800,100
