Category,Description,Number of respondents,Mean,Standard error,Median,Percentage of total cost,
Boat Fuel,Troll,231,138.97,8.09,120,45.7,100.0
,Bait for pelagic,98,111.94,9.56,97.5,37.3,100.0
,Handline for bottom,82,109.59,9.34,100,36.1,100.0
,Handline for shallow,74,76.96,10.19,50,29.9,100.0
,Spear,11,70.00,18.95,50,31.6,100.0
Truck Fuel,Troll,231,21.37,1.19,20,7.0,
,Bait for pelagic,98,21.49,2.16,17.5,7.2,
,Handline for bottom,82,19.47,1.54,20,6.4,
,Handline for shallow,74,20.20,2.97,15,7.8,
,Spear,11,18.82,4.29,16,8.5,
Oil,Troll,231,5.65,0.74,0,1.9,
,Bait for pelagic,98,5.11,0.74,1,1.7,
,Handline for bottom,82,4.07,0.77,0,1.3,
,Handline for shallow,74,5.36,1.77,0,2.1,
,Spear,11,2.36,1.34,0,1.1,
Ice,Troll,231,35.13,2.46,30,11.6,
,Bait for pelagic,98,38.11,3.75,30,12.7,
,Handline for bottom,82,30.59,3.01,24.5,10.1,
,Handline for shallow,74,30.24,4.77,20,11.7,
,Spear,11,28.00,13.91,10,12.6,
Bait,Troll,231,16.74,1.61,9,5.5,
,Bait for pelagic,98,31.68,2.79,30,10.6,
,Handline for bottom,82,45.57,3.97,40,15.0,
,Handline for shallow,74,24.32,4.02,12.5,9.4,
,Spear,11,26.73,23.88,0,12.0,
Food and beverage,Troll,231,28.12,1.92,20,9.3,
,Bait for pelagic,98,25.26,2.34,20,8.4,
,Handline for bottom,82,30.20,2.82,25,9.9,
,Handline for shallow,74,29.63,5.17,20,11.5,
,Spear,11,18.18,1.69,20,8.2,
Daily maintenance and repair,Troll,231,27.10,3.79,20,8.9,
,Bait for pelagic,98,27.11,4.36,17.5,9.0,
,Handline for bottom,82,26.83,4.91,17.5,8.8,
,Handline for shallow,74,36.58,7.24,17.5,14.2,
,Spear,11,15.00,6.40,10,6.8,
Gear lost,Troll,231,26.07,2.56,15,8.6,
,Bait for pelagic,98,31.23,5.12,20,10.4,
,Handline for bottom,82,26.00,3.62,20,8.6,
,Handline for shallow,74,24.07,5.08,10,9.3,
,Spear,11,14.55,13.58,0,6.6,
Other,Troll,231,4.71,1.55,0,1.6,
,Bait for pelagic,98,7.96,4.83,0,2.7,
,Handline for bottom,82,11.65,6.40,0,3.8,
,Handline for shallow,74,10.20,4.93,0,4.0,
,Spear,11,28.18,27.20,0,12.7,
Total trip cost,Troll,231,303.87,16.21,260,100.0,
,Bait for pelagic,98,299.90,23.38,245.5,100.0,
,Handline for bottom,82,303.96,22.06,267,100.0,
,Handline for shallow,74,257.57,33.35,166.75,100.0,
,Spear,11,221.82,100.23,97,100.0,
