Category,Description,Number of respondents,Mean,Standard error,Median,Percentage of total cost
Boat Fuel,Oahu,203,115.35,6.87,100,41.0
,Hawaii,206,111.26,8.17,100,37.2
,Maui,82,144.49,12.69,120,41.1
,Kauai,60,128.93,17.90,83.5,41.5
Truck Fuel,Oahu,203,18.40,1.05,15,6.5
,Hawaii,206,23.05,1.45,20,7.7
,Maui,82,28.53,2.94,20,8.1
,Kauai,60,17.70,1.75,15.5,5.7
Oil,Oahu,203,5.23,0.73,0,1.9
,Hawaii,206,4.69,0.69,0,1.6
,Maui,82,7.88,1.88,0,2.2
,Kauai,60,4.62,1.00,0,1.5
Ice,Oahu,203,31.33,1.72,25,11.1
,Hawaii,206,34.24,2.95,25,11.5
,Maui,82,37.13,3.21,30,10.6
,Kauai,60,52.58,8.26,31,16.9
Bait,Oahu,203,22.49,1.96,15,8.0
,Hawaii,206,32.89,2.72,25,11.0
,Maui,82,30.38,3.86,20,8.6
,Kauai,60,19.05,3.70,0,6.1
Food and beverage,Oahu,203,28.03,1.48,20,10.0
,Hawaii,206,23.76,1.93,20,7.9
,Maui,82,33.78,3.31,25,9.6
,Kauai,60,35.30,6.25,25,11.3
Daily maintenance and repair,Oahu,203,29.81,2.87,20,10.6
,Hawaii,206,28.46,4.74,10,9.5
,Maui,82,27.07,3.34,20,7.7
,Kauai,60,21.65,5.54,10,7.0
Gear lost,Oahu,203,21.52,1.97,15,7.7
,Hawaii,206,34.08,4.58,10,11.4
,Maui,82,29.35,4.57,20,8.3
,Kauai,60,29.95,7.52,10,9.6
Other,Oahu,203,8.88,3.18,0,3.2
,Hawaii,206,6.53,2.39,0,2.2
,Maui,82,13.29,6.39,0,3.8
,Kauai,60,1.25,0.71,0,0.4
Total trip cost,Oahu,203,281.03,12.17,265,100.0
,Hawaii,206,298.96,20.14,225,100.0
,Maui,82,351.91,26.29,280,100.0
,Kauai,60,311.04,39.02,222,100.0
