TYPE,Number of Respondents,None,Very Little,Some,About Half,Most,Almost All,Mean (excluse 0)
ALL,340,14.117647058823529,17.647058823529413,23.52941176470588,17.058823529411764,15.88235294117647,11.76470588235294,44.69178082191781
By County,,,,,,,,
Oahu,122,16.39344262295082,18.852459016393443,18.852459016393443,15.573770491803279,17.21311475409836,13.114754098360656,46.42156862745098
Hawaii,127,7.874015748031496,18.89763779527559,25.984251968503933,21.25984251968504,14.173228346456693,11.811023622047244,43.333333333333336
Maui,51,19.607843137254903,13.725490196078432,21.568627450980394,11.76470588235294,19.607843137254903,13.725490196078432,49.390243902439025
Kauai,38,21.052631578947366,13.157894736842104,34.21052631578947,13.157894736842104,13.157894736842104,5.263157894736842,38.833333333333336
By Primary Fishing Motivation,,,,,,,,
Recreational Expense,105,12.380952380952381,23.809523809523807,21.904761904761905,15.238095238095239,16.19047619047619,10.476190476190476,41.52173913043478
Part-Time Commercial,94,12.76595744680851,12.76595744680851,30.851063829787233,17.02127659574468,13.829787234042554,12.76595744680851,45.1219512195122
Subsistence,49,20.408163265306122,22.448979591836736,16.3265306122449,12.244897959183673,12.244897959183673,16.3265306122449,45.256410256410255
Full-Time Commercial,34,17.647058823529413,8.823529411764707,29.411764705882355,26.47058823529412,8.823529411764707,8.823529411764707,43.75
Purely Recreational,26,15.384615384615385,15.384615384615385,11.538461538461538,11.538461538461538,34.61538461538461,11.538461538461538,54.77272727272727
Cultural,4,25,25,0,25,25,0,43.333333333333336
By Most Common Gear,,,,,,,,
Troll,186,5.913978494623656,10.21505376344086,24.193548387096776,18.817204301075268,23.118279569892472,17.741935483870968,53.31428571428572
Bait for Pelagic,45,4.444444444444445,20,17.77777777777778,31.11111111111111,13.333333333333334,13.333333333333334,45.69767441860465
HL for Deep7 deep,47,27.659574468085108,29.78723404255319,34.04255319148936,6.382978723404255,2.127659574468085,0,20.441176470588236
HL for Deep7 shallow,30,40,40,13.333333333333334,3.3333333333333335,3.3333333333333335,0,15.833333333333334
Spear,6,33.33333333333333,33.33333333333333,16.666666666666664,0,16.666666666666664,0,27.5
By Sub-fishery,,,,,,,,
Pelagic,325,12,17.846153846153847,23.692307692307693,17.846153846153847,16.307692307692307,12.307692307692308,45.069930069930066
Deep7 Bottom,195,15.384615384615385,21.53846153846154,25.64102564102564,14.871794871794872,14.871794871794872,7.6923076923076925,39.45454545454545
Non-Deep7 Bottom,196,14.795918367346939,19.387755102040817,22.448979591836736,17.346938775510203,15.816326530612246,10.204081632653061,43.203592814371255
Coral Reef,53,20.754716981132077,20.754716981132077,20.754716981132077,15.09433962264151,15.09433962264151,7.547169811320755,40.714285714285715
