TYPE,Number of Respondents,None,Very Little,Some,About Half,Most,Almost All,Mean (excluse 0)
ALL,279,73.83512545,1.792114695,4.301075269,5.017921147,2.508960573,12.54480287,66.5
By County,,,,,,,,
Oahu,94,24.46808511,4.255319149,12.76595745,13.82978723,7.446808511,37.23404255,67.8
Hawaii,109,100,0,0,0,0,0,
Maui,44,100,0,0,0,0,0,
Kauai,31,93.5483871,3.225806452,0,3.225806452,0,0,22.5
By Primary Fishing Motivation,,,,,,,,
Recreational Expense,93,61.29032258,3.225806452,7.52688172,7.52688172,5.376344086,15.05376344,61.3
Part-Time Commercial,86,79.06976744,1.162790698,1.162790698,5.813953488,2.325581395,10.46511628,70.7
Subsistence,27,77.77777778,3.703703704,0,0,0,18.51851852,83.3
Full-Time Commercial,33,69.6969697,0,9.090909091,6.060606061,0,15.15151515,67.2
Purely Recreational,9,88.88888889,0,11.11111111,0,0,0,17.0
Cultural,4,100,0,0,0,0,0,
By Most Common Gear,,,,,,,,
Troll,145,69.65517241,2.75862069,6.896551724,3.448275862,2.75862069,14.48275862,63.4
Bait for Pelagic,43,90.69767442,0,2.325581395,4.651162791,0,2.325581395,51.3
HL for Deep7 deep,39,66.66666667,2.564102564,0,7.692307692,5.128205128,17.94871795,76.0
HL for Deep7 shallow,22,68.18181818,0,0,9.090909091,4.545454545,18.18181818,78.6
Spear,5,40,0,20,20,0,20,61.1
By Sub-fishery,,,,,,,,
Pelagic,268,73.13432836,1.865671642,4.47761194,5.223880597,2.611940299,12.68656716,66.1
Deep7 Bottom,162,72.83950617,2.469135802,4.320987654,4.320987654,3.086419753,12.96296296,66.4
Non-Deep7 Bottom,167,70.65868263,2.994011976,4.191616766,6.586826347,1.796407186,13.77245509,63.7
Coral Reef,49,85.71428571,0,2.040816327,2.040816327,2.040816327,8.163265306,75.0
