TYPE,Number of Respondents,None,Very Little,Some,About Half,Most,Almost All, Mean (excluse 0) ,
ALL,279,51.25448029,9.677419355,16.4874552,8.960573477,5.734767025,7.885304659, 41.4 ,
By County,,,,,,,,,
Oahu,94,51.06382979,8.510638298,15.95744681,8.510638298,7.446808511,8.510638298, 43.9 ,
Hawaii,109,69.72477064,9.174311927,14.67889908,2.752293578,0,3.669724771, 28.1 ,
Maui,44,27.27272727,11.36363636,15.90909091,25,11.36363636,9.090909091, 44.7 ,
Kauai,31,19.35483871,12.90322581,25.80645161,9.677419355,12.90322581,19.35483871, 49.9 ,
By Primary Fishing Motivation,,,,,,,,,
Recreational Expense,93,55.91397849,6.451612903,12.90322581,10.75268817,9.677419355,4.301075269, 44.8 ,
Part-Time Commercial,86,50,9.302325581,22.09302326,8.139534884,2.325581395,8.139534884, 36.6 ,
Subsistence,27,48.14814815,7.407407407,11.11111111,3.703703704,11.11111111,18.51851852, 60.5 ,
Full-Time Commercial,33,57.57575758,15.15151515,15.15151515,6.060606061,3.03030303,3.03030303, 27.4 ,
Purely Recreational,9,55.55555556,11.11111111,0,11.11111111,0,22.22222222, 63.8 ,
Cultural,4,25,25,50,0,0,0, 16.7 ,
By Most Common Gear,,,,,,,,,
Troll,145,46.89655172,8.275862069,16.55172414,10.34482759,8.275862069,9.655172414, 46.0 ,
Bait for Pelagic,43,60.46511628,6.976744186,25.58139535,4.651162791,0,2.325581395, 26.0 ,
HL for Deep7 deep,39,53.84615385,12.82051282,7.692307692,15.38461538,7.692307692,2.564102564, 37.1 ,
HL for Deep7 shallow,22,59.09090909,13.63636364,13.63636364,4.545454545,0,9.090909091, 35.0 ,
Spear,5,40,20,40,0,0,0, 21.1 ,
By Sub-fishery,,,,,,,,,
Pelagic,268,50.74626866,9.701492537,17.1641791,8.955223881,5.597014925,7.835820896, 41.1 ,
Deep7 Bottom,162,51.2345679,11.72839506,16.04938272,10.49382716,4.320987654,6.172839506, 37.2 ,
Non-Deep7 Bottom,167,48.50299401,11.37724551,19.16167665,10.17964072,3.592814371,7.185628743, 36.4 ,
Coral Reef,49,44.89795918,8.163265306,20.40816327,10.20408163,8.163265306,8.163265306, 43.1 ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
