TYPE,Number of Respondents,None,Very Little,Some,About Half,Most,Almost All,Mean (excluse 0)
ALL,279,98.56630824372759,0.35842293906810035,0,0,0.35842293906810035,0.7168458781362007,66.25
By County,,,,,,,,
Oahu,94,98.93617021276596,0,0,0,0,1.0638297872340425,100
Hawaii,109,98.1651376146789,0,0,0,0.9174311926605505,0.9174311926605505,80
Maui,44,97.72727272727273,2.272727272727273,0,0,0,0,5
Kauai,31,100,0,0,0,0,0,
By Primary Fishing Motivation,,,,,,,,
Recreational Expense,93,100,0,0,0,0,0,
Part-Time Commercial,86,97.67441860465115,1.1627906976744187,0,0,0,1.1627906976744187,52.5
Subsistence,27,100,0,0,0,0,0,
Full-Time Commercial,33,93.93939393939394,0,0,0,3.0303030303030303,3.0303030303030303,80
Purely Recreational,9,100,0,0,0,0,0,
Cultural,4,100,0,0,0,0,0,
By Most Common Gear,,,,,,,,
Troll,145,98.62068965517241,0.6896551724137931,0,0,0,0.6896551724137931,52.5
Bait for Pelagic,43,97.67441860465115,0,0,0,2.3255813953488373,0,60
HL for Deep7 deep,39,100,0,0,0,0,0,
HL for Deep7 shallow,22,100,0,0,0,0,0,
Spear,5,100,0,0,0,0,0,
By Sub-fishery,,,,,,,,
Pelagic,268,98.88059701492537,0.3731343283582089,0,0,0.3731343283582089,0.3731343283582089,55
Deep7 Bottom,162,99.38271604938271,0,0,0,0.6172839506172839,0,60
Non-Deep7 Bottom,167,98.80239520958084,0.5988023952095809,0,0,0.5988023952095809,0,32.5
Coral Reef,49,95.91836734693877,0,0,0,2.0408163265306123,2.0408163265306123,80
