TYPE,Number of Respondents,0 Trips,fewer than 12,12 to 24 Trips,25 to 49 Trips,50 to 99 Trips,Mean (excluse 0)
ALL,344,75.87209302325581,17.441860465116278,4.651162790697675,0.872093023255814,1.1627906976744187,12.74698795180723
By County,,,,,,,
Oahu,122,73.77049180327869,18.852459016393443,4.098360655737705,1.639344262295082,1.639344262295082,14.15625
Hawaii,130,79.23076923076923,15.384615384615385,3.8461538461538463,0,1.5384615384615385,13.296296296296296
Maui,51,68.62745098039215,25.49019607843137,5.88235294117647,0,0,8.25
Kauai,39,79.48717948717949,10.256410256410255,7.6923076923076925,2.564102564102564,0,14.25
By Primary Fishing Motivation,,,,,,,
Recreational Expense,106,83.9622641509434,10.377358490566039,3.7735849056603774,0.9433962264150944,0.9433962264150944,15.058823529411764
Part-Time Commercial,94,73.40425531914893,18.085106382978726,6.382978723404255,1.0638297872340425,1.0638297872340425,12.8
Subsistence,49,71.42857142857143,18.367346938775512,8.16326530612245,2.0408163265306123,0,11.285714285714286
Full-Time Commercial,34,76.47058823529412,17.647058823529413,2.941176470588235,0,2.941176470588235,16.125
Purely Recreational,26,84.61538461538461,15.384615384615385,0,0,0,6
Cultural,4,25,75,0,0,0,6
By Most Common Gear,,,,,,,
Troll,186,78.49462365591397,14.516129032258066,5.376344086021505,1.6129032258064515,0,11.4
Bait for Pelagic,48,77.08333333333334,16.666666666666664,4.166666666666666,0,2.083333333333333,14.454545454545455
HL for Deep7 deep,48,54.166666666666664,39.58333333333333,6.25,0,0,7.454545454545454
HL for Deep7 shallow,30,86.66666666666667,6.666666666666667,3.3333333333333335,0,3.3333333333333335,26.25
Spear,6,100,0,0,0,0,
By Sub-fishery,,,,,,,
Pelagic,329,75.6838905775076,17.933130699088146,4.86322188449848,0.911854103343465,0.60790273556231,11.275
Deep7 Bottom,198,67.67676767676768,22.727272727272727,7.07070707070707,1.0101010101010102,1.5151515151515151,12.875
Non-Deep7 Bottom,200,69.5,21,7.000000000000001,0.5,2,13.852459016393443
Coral Reef,55,52.72727272727272,25.454545454545453,16.363636363636363,0,5.454545454545454,18.307692307692307
