TYPE,Number of Respondents,None,Very Little,Some,About Half,Most,Almost All,Mean
ALL,286,16.1,42.0,22.7,9.4,2.1,7.7,21.4
By County,,,,,,,,
Oahu,95,21.1,42.1,21.1,7.4,3.2,5.3,18.4
Hawaii,112,10.7,42.0,25.9,12.5,1.8,7.1,22.9
Maui,44,11.4,45.5,22.7,6.8,2.3,11.4,23.9
Kauai,34,23.5,38.2,17.6,8.8,0.0,11.8,21.9
By Primary Fishing Motivation,,,,,,,,
Recreational Expense,93,30.1,52.7,11.8,4.3,0.0,1.1,8.8
Part-Time Commercial,88,9.1,36.4,37.5,12.5,2.3,2.3,21.3
Subsistence,27,22.2,40.7,29.6,3.7,3.7,0.0,14.1
Full-Time Commercial,34,0.0,8.8,11.8,26.5,8.8,44.1,65.1
Purely Recreational,9,33.3,55.6,11.1,0.0,0.0,0.0,5.6
Cultural,4,0.0,75.0,25.0,0.0,0.0,0.0,10.0
By Most Common Gear,,,,,,,,
Troll,146,19.9,50.7,15.8,6.2,1.4,6.2,16.4
Bait for Pelagic,46,15.2,23.9,32.6,19.6,2.2,6.5,27.0
HL for Deep7 deep,41,14.6,43.9,26.8,4.9,0.0,9.8,20.6
HL for Deep7 shallow,22,9.1,45.5,27.3,4.5,4.5,9.1,23.4
Spear,5,20.0,20.0,60.0,0.0,0.0,0.0,16.0
By Sub-fishery,,,,,,,,
Pelagic,274,16.8,42.7,22.6,8.8,1.8,7.3,20.5
Deep7 Bottom,166,15.7,38.0,25.9,10.8,2.4,7.2,22.5
Non-Deep7 Bottom,173,15.6,39.3,26.6,10.4,1.2,6.9,21.3
Coral Reef,52,15.4,28.8,30.8,15.4,3.8,5.8,25.2
