TYPE,Number of Respondents,None,Very Little,Some,About Half,Most,Almost All,Mean
ALL,340,42.05882352941177,18.529411764705884,22.647058823529413,7.352941176470589,7.0588235294117645,2.3529411764705883,15.7695
By County,,,,,,,,
Oahu,121,48.760330578512395,14.87603305785124,19.00826446280992,11.570247933884298,3.3057851239669422,2.479338842975207,14.49702479338843
Hawaii,128,39.84375,27.34375,22.65625,3.125,7.03125,0,11.580703125
Maui,51,33.33333333333333,7.8431372549019605,23.52941176470588,9.803921568627452,19.607843137254903,5.88235294117647,29.428039215686276
Kauai,39,38.46153846153847,15.384615384615385,33.33333333333333,5.128205128205128,2.564102564102564,5.128205128205128,16.00846153846154
By Primary Fishing Motivation,,,,,,,,
Recreational Expense,105,49.523809523809526,13.333333333333334,19.047619047619047,8.571428571428571,8.571428571428571,0.9523809523809524,14.55704761904762
Part-Time Commercial,90,47.77777777777778,20,16.666666666666664,4.444444444444445,6.666666666666667,4.444444444444445,15.25911111111111
Subsistence,49,36.734693877551024,18.367346938775512,28.57142857142857,6.122448979591836,10.204081632653061,0,17.139387755102042
Full-Time Commercial,34,29.411764705882355,32.35294117647059,23.52941176470588,2.941176470588235,2.941176470588235,8.823529411764707,18.38705882352941
Purely Recreational,26,34.61538461538461,23.076923076923077,26.923076923076923,11.538461538461538,3.8461538461538463,0,14.166538461538462
Cultural,4,50,0,50,0,0,0,6.25
By Most Common Gear,,,,,,,,
Troll,187,51.87165775401069,19.786096256684495,24.06417112299465,4.27807486631016,0,0,7.450909090909091
Bait for Pelagic,46,36.95652173913043,32.608695652173914,28.26086956521739,2.1739130434782608,0,0,6.293478260869565
HL for Deep7 deep,48,0,0,6.25,27.083333333333332,50,16.666666666666664,66.34333333333333
HL for Deep7 shallow,29,44.827586206896555,17.24137931034483,34.48275862068966,3.4482758620689653,0,0,8.976896551724138
Spear,6,50,33.33333333333333,16.666666666666664,0,0,0,3.3333333333333335
By Sub-fishery,,,,,,,,
Pelagic,326,41.104294478527606,19.32515337423313,23.31288343558282,7.361963190184049,7.361963190184049,1.5337423312883436,15.327085889570553
Deep7 Bottom,198,0.5050505050505051,31.818181818181817,38.88888888888889,12.626262626262626,12.121212121212121,4.040404040404041,27.078939393939393
Non-Deep7 Bottom,200,32,24.5,27,6,9,1.5,16.62905
Coral Reef,55,40,25.454545454545453,20,7.2727272727272725,7.2727272727272725,0,13.272727272727273
