TYPE,Number of Respondents,None,Very Little,Some,About Half,Most,Almost All,Mean
ALL,340,41.2,23.5,25.0,4.4,3.8,2.1,12.2
By County,,,,,,,,
Oahu,121,37.2,21.5,28.1,5.0,5.0,3.3,15.3
Hawaii,128,46.9,25.8,22.7,3.1,1.6,0.0,7.5
Maui,51,35.3,21.6,27.5,5.9,7.8,2.0,16.0
Kauai,39,41.0,25.6,20.5,5.1,2.6,5.1,13.6
By Primary Fishing Motivation,,,,,,,,
Recreational Expense,105,41.9,22.9,23.8,4.8,5.7,1.0,12.6
Part-Time Commercial,90,46.7,18.9,24.4,5.6,0.0,4.4,11.7
Subsistence,49,38.8,22.4,26.5,8.2,2.0,2.0,13.6
Full-Time Commercial,34,35.3,35.3,20.6,2.9,5.9,0.0,10.3
Purely Recreational,26,50.0,23.1,15.4,0.0,7.7,3.8,13.8
Cultural,4,25.0,50.0,0.0,0.0,25.0,0.0,18.8
By Most Common Gear,,,,,,,,
Troll,187,52.9,20.9,23.5,2.7,0.0,0.0,6.3
Bait for Pelagic,46,26.1,34.8,34.8,4.3,0.0,0.0,9.1
HL for Deep7 deep,48,29.2,39.6,27.1,4.2,0.0,0.0,8.6
HL for Deep7 shallow,29,0.0,0.0,13.8,17.2,44.8,24.1,65.9
Spear,6,16.7,33.3,50.0,0.0,0.0,0.0,10.0
By Sub-fishery,,,,,,,,
Pelagic,326,41.1,24.5,25.2,4.0,3.7,1.5,11.4
Deep7 Bottom,198,31.3,30.3,29.3,3.5,4.5,1.0,12.1
Non-Deep7 Bottom,200,0.0,40.0,42.5,7.5,6.5,3.5,20.8
Coral Reef,55,25.5,29.1,38.2,3.6,1.8,1.8,12.3
