TYPE,Number of Respondents,None,Very Little,Some,About Half,Most,Almost All,Mean
ALL,81,48.1,8.6,19.8,11.1,8.6,3.7,20.3
By County,,,,,,,,
Oahu,30,60.0,10.0,16.7,6.7,6.7,0.0,12.6
Hawaii,28,32.1,7.1,21.4,17.9,14.3,7.1,31.4
Maui,16,50.0,0.0,31.3,6.3,6.3,6.3,20.2
Kauai,7,57.1,28.6,0.0,14.3,0.0,0.0,8.6
By Primary Fishing Motivation,,,,,,,,
Recreational Expense,16,50.0,0.0,18.8,25.0,6.3,0.0,21.8
Part-Time Commercial,24,41.7,8.3,25.0,8.3,12.5,4.2,24.3
Subsistence,14,35.7,21.4,21.4,14.3,0.0,7.1,19.2
Full-Time Commercial,7,71.4,0.0,14.3,0.0,0.0,14.3,19.0
Purely Recreational,4,75.0,0.0,25.0,0.0,0.0,0.0,2.5
Cultural,3,66.7,33.3,0.0,0.0,0.0,0.0,1.7
By Most Common Gear,,,,,,,,
Troll,39,51.3,12.8,17.9,10.3,7.7,0.0,15.6
Bait for Pelagic,11,36.4,0.0,18.2,27.3,18.2,0.0,29.1
HL for Deep7 deep,22,40.9,4.5,22.7,9.1,9.1,13.6,28.9
HL for Deep7 shallow,4,75.0,25.0,0.0,0.0,0.0,0.0,1.3
Spear,,,,,,,,
By Sub-fishery,,,,,,,,
Pelagic,78,48.7,9.0,17.9,11.5,9.0,3.8,20.2
Deep7 Bottom,63,44.4,11.1,20.6,11.1,7.9,4.8,20.8
Non-Deep7 Bottom,61,44.3,9.8,18.0,13.1,11.5,3.3,22.8
Coral Reef,26,3.8,11.5,34.6,30.8,15.4,3.8,37.2
