TYPE,Number of Respondents,None,Very Little,Some,About Half,Most,Almost All,Mean
ALL,333,2.7027027027027026,14.414414414414415,13.513513513513514,28.82882882882883,12.312312312312311,28.22822822822823,54.63963963963964
By County,,,,,,,,
Oahu,119,5.88235294117647,23.52941176470588,19.327731092436977,23.52941176470588,6.722689075630252,21.008403361344538,42.50420168067227
Hawaii,125,0.8,8.799999999999999,8.799999999999999,33.6,15.2,32.800000000000004,62.464
Maui,49,2.0408163265306123,14.285714285714285,16.3265306122449,24.489795918367346,14.285714285714285,28.57142857142857,55.06122448979592
Kauai,39,0,5.128205128205128,5.128205128205128,35.8974358974359,17.94871794871795,35.8974358974359,66.82051282051282
By Primary Fishing Motivation,,,,,,,,
Recreational Expense,103,2.912621359223301,19.41747572815534,16.50485436893204,33.00970873786408,5.825242718446602,22.330097087378643,47.03883495145631
Part-Time Commercial,88,3.4090909090909087,13.636363636363635,15.909090909090908,19.318181818181817,18.181818181818183,29.545454545454547,56.11363636363637
Subsistence,48,4.166666666666666,16.666666666666664,10.416666666666668,18.75,20.833333333333336,29.166666666666668,56.0625
Full-Time Commercial,32,3.125,12.5,0,46.875,9.375,28.125,58.125
Purely Recreational,26,0,3.8461538461538463,19.230769230769234,34.61538461538461,3.8461538461538463,38.46153846153847,62.88461538461539
Cultural,4,0,0,25,25,25,25,57.5
By Most Common Gear,,,,,,,,
Troll,183,3.825136612021858,17.48633879781421,15.300546448087433,29.508196721311474,9.289617486338798,24.59016393442623,49.775956284153004
Bait for Pelagic,44,0,11.363636363636363,15.909090909090908,47.72727272727273,6.8181818181818175,18.181818181818183,50.25
HL for Deep7 deep,47,2.127659574468085,10.638297872340425,19.148936170212767,17.02127659574468,23.404255319148938,27.659574468085108,58.1063829787234
HL for Deep7 shallow,29,0,10.344827586206897,0,20.689655172413794,24.137931034482758,44.827586206896555,71.20689655172414
Spear,6,0,0,0,33.33333333333333,16.666666666666664,50,78.33333333333333
By Sub-fishery,,,,,,,,
Pelagic,318,2.8301886792452833,14.465408805031446,13.836477987421384,29.874213836477985,12.89308176100629,26.10062893081761,53.5377358490566
Deep7 Bottom,194,2.5773195876288657,13.402061855670103,15.463917525773196,27.31958762886598,13.917525773195877,27.31958762886598,54.29381443298969
Non-Deep7 Bottom,194,1.0309278350515463,11.855670103092782,16.49484536082474,32.47422680412371,14.948453608247423,23.195876288659793,53.44845360824742
Coral Reef,54,0,7.4074074074074066,16.666666666666664,29.629629629629626,7.4074074074074066,38.88888888888889,62.5
