TYPE,Number of Respondents,Troll,Pelagic Bait,Handline Deep7,Handline Shallow,Spear,,,,,,,,,,,,,,
ALL,344,54.4,14.0,14.0,8.7,1.7,,,,,,,,,,,,,,
By County,,,,,,,,,,,,,,,,,,,,
Oahu,122,61.47540984,4.098360656,13.1147541,12.29508197,4.918032787,122,61.5,4.1,13.1,12.3,4.9,0.0,0.0,0.0,0.0,0.0,0.0,,
Hawaii,130,50.76923077,26.92307692,9.230769231,3.076923077,0,130,50.8,26.9,9.2,3.1,0,0.0,0.0,0.0,0.0,0.0,0.0,,
Maui,51,43.1372549,7.843137255,31.37254902,9.803921569,0,51,43.1,7.8,31.4,9.8,0,0.0,0.0,0.0,0.0,0.0,0.0,,
Kauai,39,58.97435897,7.692307692,10.25641026,15.38461538,0,39,59,7.7,10.3,15.4,0,0.0,0.0,0.0,0.0,0.0,0.0,,
By Primary Fishing Motivation,,,,,,,By Primary Fishing Motivation,,,,,,#VALUE!,0.0,0.0,0.0,0.0,0.0,,
Recreational Expense,106,64.1509434,12.26415094,11.32075472,10.37735849,0.943396226,106,64.2,12.3,11.3,10.4,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,
Part-Time Commercial,94,46.80851064,18.08510638,15.95744681,7.446808511,2.127659574,94,46.8,18.1,16,7.4,2.1,0.0,0.0,0.0,0.0,0.0,0.0,,
Subsistence,49,59.18367347,4.081632653,14.28571429,10.20408163,4.081632653,49,59.2,4.1,14.3,10.2,4.1,0.0,0.0,0.0,0.0,0.0,0.0,,
Full-Time Commercial,33,36.36363636,24.24242424,12.12121212,6.060606061,3.03030303,33,36.4,24.2,12.1,6.1,3,0.0,0.0,0.0,0.0,0.0,0.0,,
Purely Recreational,26,65.38461538,3.846153846,15.38461538,11.53846154,0,26,65.4,3.8,15.4,11.5,0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cultural,4,75,0,0,25,0,4,75,0,0,25,0,0.0,0.0,0.0,0.0,0.0,0.0,,
By Most Common Gear,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
Troll,187,100,0,0,0,0,,,,,,,187.0,100.0,0.0,0.0,0.0,0.0,,
Bait for Pelagic,48,0,100,0,0,0,,,,,,,48.0,0.0,100.0,0.0,0.0,0.0,,
HL for Deep7 deep,48,0,0,100,0,0,,,,,,,48.0,0.0,0.0,100.0,0.0,0.0,,
HL for Deep7 shallow,30,0,0,0,100,0,,,,,,,30.0,0.0,0.0,0.0,100.0,0.0,,
Spear,6,0,0,0,0,100,,,,,,,6.0,0.0,0.0,0.0,0.0,100.0,,
By Sub-fishery,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
Pelagic,329,56.83890578,14.58966565,13.67781155,7.294832827,1.519756839,329,56.8,14.6,13.7,7.3,1.5,0.0,0.0,0.0,0.0,0.0,0.0,,
Deep7 Bottom,198,45.45454545,14.64646465,24.24242424,8.080808081,1.515151515,198,45.5,14.6,24.2,8.1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,,
Non-Deep7 Bottom,200,44,17,17,15,2.5,200,44,17,17,15,2.5,0.0,0.0,0.0,0.0,0.0,0.0,,
Coral Reef,54,38.88888889,14.81481481,12.96296296,5.555555556,9.259259259,54,38.9,14.8,13,5.6,9.3,0.0,0.0,0.0,0.0,0.0,0.0,,
