TYPE,Number of Respondents,Asian,Native Hawaiian,Other pacific islander,White,Mixed,,,,,,,,,,,,
ALL,338,38.75739645,12.4260355,6.213017751,26.62721893,15.97633136,338,38.8,12.4,6.2,26.6,16,0.0,0.0,0.0,0.0,0.0,0.0
By County,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Oahu,120,52.5,5.833333333,5.833333333,22.5,13.33333333,120,52.5,5.8,5.8,22.5,13.3,0.0,0.0,0.0,0.0,0.0,0.0
Hawaii,128,32.03125,17.1875,7.8125,26.5625,16.40625,128,32,17.2,7.8,26.6,16.4,0.0,0.0,0.0,0.0,0.0,0.0
Maui,49,30.6122449,12.24489796,6.12244898,28.57142857,22.44897959,49,30.6,12.2,6.1,28.6,22.4,0.0,0.0,0.0,0.0,0.0,0.0
Kauai,39,30.76923077,17.94871795,2.564102564,33.33333333,15.38461538,39,30.8,17.9,2.6,33.3,15.4,0.0,0.0,0.0,0.0,0.0,0.0
By Primary Fishing Motivation,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Recreational Expense,101,42.57425743,9.900990099,2.97029703,30.69306931,13.86138614,101,42.6,9.9,3,30.7,13.9,0.0,0.0,0.0,0.0,0.0,0.0
Part-Time Commercial,94,31.91489362,7.446808511,8.510638298,34.04255319,18.08510638,94,31.9,7.4,8.5,34,18.1,0.0,0.0,0.0,0.0,0.0,0.0
Subsistence,49,40.81632653,16.32653061,4.081632653,22.44897959,16.32653061,49,40.8,16.3,4.1,22.4,16.3,0.0,0.0,0.0,0.0,0.0,0.0
Full-Time Commercial,34,35.29411765,17.64705882,8.823529412,26.47058824,11.76470588,34,35.3,17.6,8.8,26.5,11.8,0.0,0.0,0.0,0.0,0.0,0.0
Purely Recreational,26,57.69230769,3.846153846,11.53846154,15.38461538,11.53846154,26,57.7,3.8,11.5,15.4,11.5,0.0,0.0,0.0,0.0,0.0,0.0
Cultural,4,25,50,0,0,25,4,25,50,0,0,25,0.0,0.0,0.0,0.0,0.0,0.0
By Most Common Gear,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Troll,183,31.14754098,10.92896175,5.464480874,34.42622951,18.03278689,183,31.1,10.9,5.5,34.4,18,0.0,0.0,0.0,0.0,0.0,0.0
Bait for Pelagic,46,23.91304348,19.56521739,10.86956522,30.43478261,15.2173913,46,23.9,19.6,10.9,30.4,15.2,0.0,0.0,0.0,0.0,0.0,0.0
HL for Deep7 deep,47,63.82978723,8.510638298,2.127659574,12.76595745,12.76595745,47,63.8,8.5,2.1,12.8,12.8,0.0,0.0,0.0,0.0,0.0,0.0
HL for Deep7 shallow,30,60,10,6.666666667,13.33333333,10,30,60,10,6.7,13.3,10,0.0,0.0,0.0,0.0,0.0,0.0
Spear,6,66.66666667,0,16.66666667,0,16.66666667,6,66.7,0,16.7,0,16.7,0.0,0.0,0.0,0.0,0.0,0.0
By Sub-fishery,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Pelagic,323,37.46130031,12.69349845,6.501547988,27.55417957,15.78947368,323,37.5,12.7,6.5,27.6,15.8,0.0,0.0,0.0,0.0,0.0,0.0
Deep7 Bottom,196,46.93877551,13.26530612,6.12244898,15.81632653,17.85714286,198,46.9,13.3,6.1,15.8,17.9,-2.0,0.0,0.0,0.0,0.0,0.0
Non-Deep7 Bottom,197,43.14720812,16.24365482,4.060913706,19.2893401,17.25888325,197,43.1,16.2,4.1,19.3,17.3,0.0,0.0,0.0,0.0,0.0,0.0
Coral Reef,55,36.36363636,23.63636364,10.90909091,5.454545455,23.63636364,55,36.4,23.6,10.9,5.5,23.6,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
