TYPE,Number of Respondents,Recreational Expenses,part-time Commercial,Subsistence,Full-time Commerical,Purely Recreational,Cultural,,,,,,,,,,,,,,
ALL,313,33.9,30.0,15.7,10.9,8.3,1.3,,,,,,,,,,,,,,
By County,,,,,,,,,,,,,,,,,,,,,
Oahu,119,42.85714286,22.68907563,17.64705882,9.243697479,7.56302521,0,119,42.9,22.7,17.6,9.2,7.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawaii,115,33.91304348,32.17391304,11.30434783,12.17391304,8.695652174,1.739130435,115,33.9,32.2,11.3,12.2,8.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maui,42,26.19047619,30.95238095,23.80952381,9.523809524,7.142857143,2.380952381,42,26.2,31,23.8,9.5,7.1,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kauai,35,14.28571429,45.71428571,14.28571429,14.28571429,8.571428571,2.857142857,35,14.3,45.7,14.3,14.3,8.6,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
By Primary Fishing Motivation,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Recreational Expense,106,100,0,0,0,0,0,,,,,,,,106.0,100.0,0.0,0.0,0.0,0.0,0.0
Part-Time Commercial,94,0,100,0,0,0,0,,,,,,,,94.0,0.0,100.0,0.0,0.0,0.0,0.0
Subsistence,49,0,0,100,0,0,0,,,,,,,,49.0,0.0,0.0,100.0,0.0,0.0,0.0
Full-Time Commercial,34,0,0,0,100,0,0,,,,,,,,34.0,0.0,0.0,0.0,100.0,0.0,0.0
Purely Recreational,26,0,0,0,0,100,0,,,,,,,,26.0,0.0,0.0,0.0,0.0,100.0,0.0
Cultural,4,0,0,0,0,0,100,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,100.0
By Most Common Gear,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Troll,173,39.30635838,25.43352601,16.76300578,6.936416185,9.826589595,1.734104046,173,39.3,25.4,16.8,6.9,9.8,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bait for Pelagic,41,31.70731707,41.46341463,4.87804878,19.51219512,2.43902439,0,41,31.7,41.5,4.9,19.5,2.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL for Deep7 deep,42,28.57142857,35.71428571,16.66666667,9.523809524,9.523809524,0,42,28.6,35.7,16.7,9.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL for Deep7 shallow,29,37.93103448,24.13793103,17.24137931,6.896551724,10.34482759,3.448275862,29,37.9,24.1,17.2,6.9,10.3,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spear,6,16.66666667,33.33333333,33.33333333,16.66666667,0,0,6,16.7,33.3,33.3,16.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
By Sub-fishery,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pelagic,300,34,29.66666667,16,10.66666667,8.333333333,1.333333333,300,34,29.7,16,10.7,8.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deep7 Bottom,176,30.11363636,27.84090909,17.61363636,13.63636364,9.659090909,1.136363636,176,30.1,27.8,17.6,13.6,9.7,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Non-Deep7 Bottom,178,34.83146067,26.96629213,16.85393258,12.35955056,7.303370787,1.685393258,178,34.8,27,16.9,12.4,7.3,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coral Reef,47,21.27659574,38.29787234,23.40425532,10.63829787,4.255319149,2.127659574,47,21.3,38.3,23.4,10.6,4.3,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
