TYPE,Number of Respondents,I kept all the fish I caught,I kept or received some percent of total fish caught,I kept or received some percent of trip revenue,Don’t know/ different every time,Other
ALL,340,45.88235294117647,16.176470588235293,4.705882352941177,31.176470588235293,2.0588235294117645
By County,,,,,,
Oahu,121,35.53719008264463,20.66115702479339,6.6115702479338845,33.057851239669425,4.132231404958678
Hawaii,128,51.5625,15.625,3.125,28.125,1.5625
Maui,51,43.13725490196079,13.725490196078432,5.88235294117647,37.254901960784316,0
Kauai,38,63.1578947368421,7.894736842105263,2.631578947368421,26.31578947368421,0
By Primary Fishing Motivation,,,,,,
Recreational Expense,105,44.761904761904766,19.047619047619047,3.8095238095238098,28.57142857142857,3.8095238095238098
Part-Time Commercial,94,45.744680851063826,13.829787234042554,9.574468085106384,29.78723404255319,1.0638297872340425
Subsistence,49,46.93877551020408,14.285714285714285,2.0408163265306123,34.69387755102041,2.0408163265306123
Full-Time Commercial,34,52.94117647058824,14.705882352941178,0,29.411764705882355,2.941176470588235
Purely Recreational,26,53.84615384615385,23.076923076923077,3.8461538461538463,19.230769230769234,0
Cultural,4,25,25,0,50,0
By Most Common Gear,,,,,,
Troll,185,45.40540540540541,15.675675675675677,3.2432432432432434,32.972972972972975,2.7027027027027026
Bait for Pelagic,46,50,10.869565217391305,13.043478260869565,26.08695652173913,0
HL for Deep7 deep,47,44.680851063829785,17.02127659574468,4.25531914893617,34.04255319148936,0
HL for Deep7 shallow,30,56.666666666666664,13.333333333333334,0,26.666666666666668,3.3333333333333335
Spear,6,33.33333333333333,50,16.666666666666664,0,0
By Sub-fishery,,,,,,
Pelagic,325,45.230769230769226,16.615384615384617,4.923076923076923,31.384615384615383,1.8461538461538463
Deep7 Bottom,195,46.666666666666664,16.923076923076923,5.128205128205128,29.230769230769234,2.051282051282051
Non-Deep7 Bottom,196,43.87755102040816,14.795918367346939,5.1020408163265305,34.69387755102041,1.530612244897959
Coral Reef,53,39.62264150943396,9.433962264150944,3.7735849056603774,47.16981132075472,0
