TYPE,Number of Respondents,I kept all the fish I caught,I kept or received some percent of total fish caught,I kept or received some percent of trip revenue,Don’t know/ different every time,Other
ALL,340,45.9,16.2,4.7,31.2,2.1
By County,,,,,,
Oahu,121,35.5,20.7,6.6,33.1,4.1
Hawaii,128,51.6,15.6,3.1,28.1,1.6
Maui,51,43.1,13.7,5.9,37.3,0.0
Kauai,38,63.2,7.9,2.6,26.3,0.0
By Primary Fishing Motivation,,,,,,
Recreational Expense,105,44.8,19.0,3.8,28.6,3.8
Part-Time Commercial,94,45.7,13.8,9.6,29.8,1.1
Subsistence,49,46.9,14.3,2.0,34.7,2.0
Full-Time Commercial,34,52.9,14.7,0.0,29.4,2.9
Purely Recreational,26,53.8,23.1,3.8,19.2,0.0
Cultural,4,25.0,25.0,0.0,50.0,0.0
By Most Common Gear,,,,,,
Troll,185,45.4,15.7,3.2,33.0,2.7
Bait for Pelagic,46,50.0,10.9,13.0,26.1,0.0
HL for Deep7 deep,47,44.7,17.0,4.3,34.0,0.0
HL for Deep7 shallow,30,56.7,13.3,0.0,26.7,3.3
Spear,6,33.3,50.0,16.7,0.0,0.0
By Sub-fishery,,,,,,
Pelagic,325,45.2,16.6,4.9,31.4,1.8
Deep7 Bottom,195,46.7,16.9,5.1,29.2,2.1
Non-Deep7 Bottom,196,43.9,14.8,5.1,34.7,1.5
Coral Reef,53,39.6,9.4,3.8,47.2,0.0
