TYPE,Number of Respondents,Sold fish,Did not sell fish
ALL,344,85.17441860465115,14.825581395348838
By County,,,
Oahu,122,79.50819672131148,20.491803278688526
Hawaii,131,88.54961832061069,11.450381679389313
Maui,51,88.23529411764706,11.76470588235294
Kauai,38,89.47368421052632,10.526315789473683
By Primary Fishing Motivation,,,
Recreational Expense,106,89.62264150943396,10.377358490566039
Part-Time Commercial,94,97.87234042553192,2.127659574468085
Subsistence,49,57.14285714285714,42.857142857142854
Full-Time Commercial,34,100,0
Purely Recreational,26,38.46153846153847,61.53846153846154
Cultural,4,100,0
By Most Common Gear,,,
Troll,187,81.28342245989305,18.71657754010695
Bait for Pelagic,47,95.74468085106383,4.25531914893617
HL for Deep7 deep,48,85.41666666666666,14.583333333333334
HL for Deep7 shallow,30,76.66666666666667,23.333333333333332
Spear,6,100,0
By Sub-fishery,,,
Pelagic,329,85.1063829787234,14.893617021276595
Deep7 Bottom,198,83.83838383838383,16.161616161616163
Non-Deep7 Bottom,200,88,12
Coral Reef,55,96.36363636363636,3.6363636363636362
