TYPE,Number of Respondents,Sold fish,Did not sell fish
ALL,344,85.2,14.8
By County,,,
Oahu,122,79.5,20.5
Hawaii,131,88.5,11.5
Maui,51,88.2,11.8
Kauai,38,89.5,10.5
By Primary Fishing Motivation,,,
Recreational Expense,106,89.6,10.4
Part-Time Commercial,94,97.9,2.1
Subsistence,49,57.1,42.9
Full-Time Commercial,34,100.0,0.0
Purely Recreational,26,38.5,61.5
Cultural,4,100.0,0.0
By Most Common Gear,,,
Troll,187,81.3,18.7
Bait for Pelagic,47,95.7,4.3
HL for Deep7 deep,48,85.4,14.6
HL for Deep7 shallow,30,76.7,23.3
Spear,6,100.0,0.0
By Sub-fishery,,,
Pelagic,329,85.1,14.9
Deep7 Bottom,198,83.8,16.2
Non-Deep7 Bottom,200,88.0,12.0
Coral Reef,55,96.4,3.6
