TYPE,Number of Respondents,Own boat,Did not own boat
ALL,345,95.94202898550725,4.057971014492753
By County,,,
Oahu,122,95.90163934426229,4.098360655737705
Hawaii,131,93.12977099236642,6.870229007633588
Maui,51,100,0
Kauai,39,100,0
By Primary Fishing Motivation,,,
Recreational Expense,106,94.33962264150944,5.660377358490567
Part-Time Commercial,94,97.87234042553192,2.127659574468085
Subsistence,49,100,0
Full-Time Commercial,34,97.05882352941177,2.941176470588235
Purely Recreational,26,96.15384615384616,3.8461538461538463
Cultural,4,100,0
By Most Common Gear,,,
Troll,187,95.72192513368985,4.27807486631016
Bait for Pelagic,48,93.75,6.25
HL for Deep7 deep,48,100,0
HL for Deep7 shallow,30,93.33333333333333,6.666666666666667
Spear,6,100,0
By Sub-fishery,,,
Pelagic,330,95.75757575757575,4.242424242424243
Deep7 Bottom,199,96.4824120603015,3.5175879396984926
Non-Deep7 Bottom,201,96.01990049751244,3.9800995024875623
Coral Reef,55,96.36363636363636,3.6363636363636362
