TYPE,Number of Respondents,Less than 16ft,16-24ft,25-30ft,Greater than 30ft
ALL,330,2.121212121212121,63.93939393939394,25.151515151515152,8.787878787878787
By County,,,,,
Oahu,116,4.310344827586206,57.758620689655174,26.724137931034484,11.206896551724137
Hawaii,122,1.639344262295082,77.8688524590164,17.21311475409836,3.278688524590164
Maui,51,0,56.86274509803921,33.333333333333336,9.80392156862745
Kauai,39,0,51.28205128205128,33.33333333333333,15.384615384615383
By Primary Fishing Motivation,,,,,
Recreational Expense,99,4.040404040404041,64.64646464646465,21.212121212121215,10.101010101010102
Part-Time Commercial,92,0,60.869565217391305,34.78260869565217,4.3478260869565215
Subsistence,49,2.0408163265306123,75.51020408163265,20.408163265306122,2.0408163265306123
Full-Time Commercial,33,0,45.45454545454545,33.333333333333336,21.21212121212121
Purely Recreational,25,8,68,12,12
Cultural,4,0,50,25,25
By Most Common Gear,,,,,
Troll,178,2.808988764044944,59.550561797752806,26.40449438202247,11.235955056179776
Bait for Pelagic,45,2.2222222222222223,62.22222222222222,26.666666666666668,8.88888888888889
HL for Deep7 deep,48,2.083333333333333,66.66666666666666,22.916666666666664,8.333333333333332
HL for Deep7 shallow,28,0,78.57142857142857,21.428571428571427,0
Spear,6,0,66.66666666666666,33.33333333333333,0
By Sub-fishery,,,,,
Pelagic,315,2.2222222222222223,64.12698412698413,25.07936507936508,8.571428571428571
Deep7 Bottom,191,2.6178010471204187,66.49214659685863,24.083769633507853,6.806282722513089
Non-Deep7 Bottom,193,2.590673575129534,64.76683937823834,23.83419689119171,8.808290155440416
Coral Reef,53,3.7735849056603774,66.0377358490566,30.18867924528302,0
