TYPE,Number of Respondents,Less than 16ft,16-24ft,25-30ft,Greater than 30ft
ALL,330,2.1,63.9,25.2,8.8
By County,,,,,
Oahu,116,4.3,57.8,26.7,11.2
Hawaii,122,1.6,77.9,17.2,3.3
Maui,51,0.0,56.9,33.3,9.8
Kauai,39,0.0,51.3,33.3,15.4
By Primary Fishing Motivation,,,,,
Recreational Expense,99,4.0,64.6,21.2,10.1
Part-Time Commercial,92,0.0,60.9,34.8,4.3
Subsistence,49,2.0,75.5,20.4,2.0
Full-Time Commercial,33,0.0,45.5,33.3,21.2
Purely Recreational,25,8.0,68.0,12.0,12.0
Cultural,4,0.0,50.0,25.0,25.0
By Most Common Gear,,,,,
Troll,178,2.8,59.6,26.4,11.2
Bait for Pelagic,45,2.2,62.2,26.7,8.9
HL for Deep7 deep,48,2.1,66.7,22.9,8.3
HL for Deep7 shallow,28,0.0,78.6,21.4,0.0
Spear,6,0.0,66.7,33.3,0.0
By Sub-fishery,,,,,
Pelagic,315,2.2,64.1,25.1,8.6
Deep7 Bottom,191,2.6,66.5,24.1,6.8
Non-Deep7 Bottom,193,2.6,64.8,23.8,8.8
Coral Reef,53,3.8,66.0,30.2,0.0
