,,"1, 2",3,"4,5","6,7",,High School Graduate or Less ,Some College ,Associates Degree or Technical School,College Graduate,"Advanced, Professional or Doctoral Degree",,,,,,
TYPE,Number of Respondents,Less than high school graduate,High school graduate,Some college or associate’s degree,Bachelor’s degree or higher,,"1, 2, 3",4,5,6,7,,,,,,
ALL,341,2.346041056,21.70087977,43.1085044,32.84457478,341,24,21.7,21.4,21.7,11.1,0.0,0.0,0.0,0.0,,329.9
By County,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
Oahu,121,1.652892562,15.70247934,37.19008264,45.45454545,121,17.4,22.3,14.9,28.1,17.4,0.0,0.0,0.0,0.0,,
Hawaii,130,3.076923077,23.84615385,45.38461538,27.69230769,130,26.9,20.8,24.6,20.8,6.9,0.0,0.0,0.0,0.0,,
Maui,49,0,28.57142857,46.93877551,24.48979592,49,28.6,28.6,18.4,20.4,4.1,0.0,0.0,0.1,0.0,,
Kauai,39,5.128205128,25.64102564,51.28205128,17.94871795,39,30.8,15.4,35.9,5.1,12.8,0.0,0.0,0.0,0.0,,
By Primary Fishing Motivation,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
Recreational Expense,105,1.904761905,15.23809524,46.66666667,36.19047619,105,17.1,22.9,23.8,22.9,13.3,0.0,0.0,0.0,0.0,,
Part-Time Commercial,93,0,23.65591398,49.46236559,26.88172043,93,23.7,25.8,23.7,19.4,7.5,0.0,0.0,0.0,0.0,,
Subsistence,49,2.040816327,20.40816327,32.65306122,44.89795918,49,22.4,20.4,12.2,26.5,18.4,0.0,0.0,-0.1,0.0,,
Full-Time Commercial,33,9.090909091,36.36363636,39.39393939,15.15151515,33,45.5,18.2,21.2,12.1,3,0.0,0.0,0.0,-0.1,,
Purely Recreational,26,0,19.23076923,30.76923077,50,26,19.2,7.7,23.1,30.8,19.2,0.0,0.0,0.0,0.0,,
Cultural,4,0,0,75,25,4,0,50,25,25,0,0.0,0.0,0.0,0.0,,
By Most Common Gear,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
Troll,185,2.162162162,22.16216216,43.78378378,31.89189189,185,24.3,22.2,21.6,20.5,11.4,0.0,0.0,0.0,0.0,,
Bait for Pelagic,47,4.255319149,17.0212766,40.42553191,38.29787234,47,21.3,19.1,21.3,29.8,8.5,0.0,0.0,0.0,0.0,,
HL for Deep7 deep,47,0,21.27659574,36.17021277,42.55319149,47,21.3,23.4,12.8,29.8,12.8,0.0,0.0,0.0,0.0,,
HL for Deep7 shallow,30,3.333333333,16.66666667,56.66666667,23.33333333,30,20,30,26.7,10,13.3,0.0,0.0,0.0,0.0,,
Spear,6,0,16.66666667,50,33.33333333,6,16.7,16.7,33.3,16.7,16.7,0.0,0.0,0.0,0.1,,
By Sub-fishery,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
Pelagic,326,2.45398773,21.16564417,42.94478528,33.43558282,326,23.6,21.8,21.2,22.1,11.3,0.0,0.0,0.1,0.0,,
Deep7 Bottom,196,1.020408163,19.89795918,43.36734694,35.71428571,196,20.9,19.9,23.5,24,11.7,0.0,0.0,0.0,0.0,,
Non-Deep7 Bottom,198,2.02020202,18.18181818,45.45454545,34.34343434,198,20.2,24.2,21.2,23.2,11.1,0.0,0.0,-0.1,0.0,,
Coral Reef,55,0,27.27272727,40,32.72727273,55,27.3,20,20,25.5,7.3,0.0,0.0,0.0,0.1,,
