TYPE,Number of Respondents,1 to 24999 ($),25000 to 49999 ($),50000 to 99999 ($),100000 to 249999 ($),250000 or more ($),,,,,,,,,,,,
ALL,324,6.172839506,17.90123457,36.11111111,33.95061728,5.864197531,324,6.2,17.9,36.1,34,5.9,0.0,0.0,0.0,0.0,0.0,0.0
By County,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Oahu,117,1.709401709,18.8034188,28.20512821,40.17094017,11.11111111,117,1.7,18.8,28.2,40.2,11.1,0.0,0.0,0.0,0.0,0.0,0.0
Hawaii,122,10.6557377,14.75409836,41.80327869,31.14754098,1.639344262,122,10.7,14.8,41.8,31.1,1.6,0.0,0.0,0.0,0.0,0.0,0.0
Maui,48,10.41666667,16.66666667,37.5,33.33333333,2.083333333,48,10.4,16.7,37.5,33.3,2.1,0.0,0.0,0.0,0.0,0.0,0.0
Kauai,36,0,27.77777778,41.66666667,25,5.555555556,36,0,27.8,41.7,25,5.6,0.0,0.0,0.0,0.0,0.0,0.0
By Primary Fishing Motivation,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Recreational Expense,102,4.901960784,19.60784314,27.45098039,38.23529412,9.803921569,102,4.9,19.6,27.5,38.2,9.8,0.0,0.0,0.0,0.0,0.0,0.0
Part-Time Commercial,88,5.681818182,11.36363636,42.04545455,36.36363636,4.545454545,88,5.7,11.4,42,36.4,4.5,0.0,0.0,0.0,0.0,0.0,0.0
Subsistence,46,2.173913043,10.86956522,50,30.43478261,6.52173913,49,2.2,10.9,50,30.4,6.5,-3.0,0.0,0.0,0.0,0.0,0.0
Full-Time Commercial,33,15.15151515,27.27272727,33.33333333,21.21212121,3.03030303,33,15.2,27.3,33.3,21.2,3,0.0,0.0,0.0,0.0,0.0,0.0
Purely Recreational,23,0,21.73913043,30.43478261,43.47826087,4.347826087,23,0,21.7,30.4,43.5,4.3,0.0,0.0,0.0,0.0,0.0,0.0
Cultural,4,0,0,75,25,0,4,0,0,75,25,0,0.0,0.0,0.0,0.0,0.0,0.0
By Most Common Gear,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Troll,180,6.111111111,16.66666667,36.11111111,32.77777778,8.333333333,180,6.1,16.7,36.1,32.8,8.3,0.0,0.0,0.0,0.0,0.0,0.0
Bait for Pelagic,41,12.19512195,17.07317073,29.26829268,39.02439024,2.43902439,41,12.2,17.1,29.3,39,2.4,0.0,0.0,0.0,0.0,0.0,0.0
HL for Deep7 deep,45,2.222222222,11.11111111,40,40,6.666666667,45,2.2,11.1,40,40,6.7,0.0,0.0,0.0,0.0,0.0,0.0
HL for Deep7 shallow,27,11.11111111,25.92592593,29.62962963,33.33333333,0,27,11.1,25.9,29.6,33.3,0,0.0,0.0,0.0,0.0,0.0,0.0
Spear,6,0,33.33333333,50,16.66666667,0,6,0,33.3,50,16.7,0,0.0,0.0,0.0,0.0,0.0,0.0
By Sub-fishery,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Pelagic,309,5.825242718,17.79935275,36.24595469,34.30420712,5.825242718,309,5.8,17.8,36.2,34.3,5.8,0.0,0.0,0.0,0.0,0.0,0.0
Deep7 Bottom,189,6.349206349,15.87301587,37.03703704,37.56613757,3.174603175,189,6.3,15.9,37,37.6,3.2,0.0,0.0,0.0,0.0,0.0,0.0
Non-Deep7 Bottom,190,5.789473684,18.94736842,36.84210526,35.78947368,2.631578947,190,5.8,18.9,36.8,35.8,2.6,0.0,0.0,0.0,0.0,0.0,0.0
Coral Reef,53,5.660377358,16.98113208,47.16981132,26.41509434,3.773584906,53,5.7,17,47.2,26.4,3.8,0.0,0.0,0.0,0.0,0.0,0.0
