TYPE,Number of Respondents,Yes,No
ALL,316,71.8,28.2
By County,,,
Oahu,111,70.3,29.7
Hawaii,121,70.2,29.8
Maui,48,75.0,25.0
Kauai,35,77.1,22.9
By Primary Fishing Motivation,,,
Recreational Expense,94,72.3,27.7
Part-Time Commercial,84,76.2,23.8
Subsistence,48,77.1,22.9
Full-Time Commercial,33,51.5,48.5
Purely Recreational,25,68.0,32.0
Cultural,4,50.0,50.0
By Most Common Gear,,,
Troll,170,67.1,32.9
Bait for Pelagic,42,78.6,21.4
HL for Deep7 deep,45,84.4,15.6
HL for Deep7 shallow,28,67.9,32.1
Spear,5,100.0,0.0
By Sub-fishery,,,
Pelagic,301,70.8,29.2
Deep7 Bottom,188,75.0,25.0
Non-Deep7 Bottom,186,73.1,26.9
Coral Reef,53,77.4,22.6
