TYPE,Number of Respondents,Yes,No
ALL,242,99.17355371900827,0.8264462809917356
By County,,,
Oahu,94,98.93617021276596,1.0638297872340425
Hawaii,82,98.78048780487805,1.2195121951219512
Maui,41,100,0
Kauai,24,100,0
By Primary Fishing Motivation,,,
Recreational Expense,70,98.57142857142858,1.4285714285714286
Part-Time Commercial,66,98.48484848484848,1.5151515151515151
Subsistence,41,100,0
Full-Time Commercial,21,100,0
Purely Recreational,20,100,0
Cultural,2,100,0
By Most Common Gear,,,
Troll,130,100,0
Bait for Pelagic,27,100,0
HL for Deep7 deep,35,100,0
HL for Deep7 shallow,23,91.30434782608695,8.695652173913043
Spear,5,100,0
By Sub-fishery,,,
Pelagic,229,99.56331877729258,0.43668122270742354
Deep7 Bottom,143,100,0
Non-Deep7 Bottom,148,98.64864864864865,1.3513513513513513
Coral Reef,44,100,0
