TYPE,Number of Respondents,Strongly disagree,Disagree,Neutral,Agree,Strongly agree
ALL,342,1.8,2.0,23.7,46.2,26.3
By County,,,,,,
Oahu,122,1.6,4.1,24.6,46.7,23.0
Hawaii,130,0.8,1.5,24.6,47.7,25.4
Maui,50,6.0,0.0,20.0,42.0,32.0
Kauai,38,0.0,0.0,21.1,47.4,31.6
By Primary Fishing Motivation,,,,,,
Recreational Expense,105,1.0,1.9,28.6,44.8,23.8
Part-Time Commercial,93,1.1,3.2,23.7,49.5,22.6
Subsistence,49,6.1,2.0,26.5,49.0,16.3
Full-Time Commercial,34,0.0,0.0,17.6,41.2,41.2
Purely Recreational,25,0.0,0.0,24.0,36.0,40.0
Cultural,4,0.0,0.0,0.0,75.0,25.0
By Most Common Gear,,,,,,
Troll,187,2.1,2.1,22.5,44.9,28.3
Bait for Pelagic,48,0.0,2.1,18.8,54.2,25.0
HL for Deep7 deep,46,4.3,0.0,28.3,47.8,19.6
HL for Deep7 shallow,29,0.0,3.4,37.9,44.8,13.8
Spear,6,0.0,0.0,33.3,33.3,33.3
By Sub-fishery,,,,,,
Pelagic,327,1.8,1.8,24.5,45.9,26.0
Deep7 Bottom,197,1.5,1.5,21.8,47.2,27.9
Non-Deep7 Bottom,199,1.5,2.5,22.6,49.2,24.1
Coral Reef,55,1.8,5.5,9.1,49.1,34.5
