TYPE,Number of Respondents,Strongly disagree,Disagree,Neutral,Agree,Strongly agree
ALL,340,2.0588235294117645,2.0588235294117645,15,30,50.882352941176464
By County,,,,,,
Oahu,122,1.639344262295082,1.639344262295082,13.934426229508196,31.147540983606557,51.63934426229508
Hawaii,129,0.7751937984496124,2.3255813953488373,17.05426356589147,30.23255813953488,49.6124031007752
Maui,49,6.122448979591836,0,14.285714285714285,26.53061224489796,53.06122448979592
Kauai,38,2.631578947368421,2.631578947368421,13.157894736842104,31.57894736842105,50
By Primary Fishing Motivation,,,,,,
Recreational Expense,104,0.9615384615384616,2.8846153846153846,23.076923076923077,34.61538461538461,38.46153846153847
Part-Time Commercial,93,1.0752688172043012,2.1505376344086025,12.903225806451612,30.107526881720432,53.76344086021505
Subsistence,49,6.122448979591836,2.0408163265306123,12.244897959183673,18.367346938775512,61.224489795918366
Full-Time Commercial,34,0,0,8.823529411764707,26.47058823529412,64.70588235294117
Purely Recreational,25,4,4,12,44,36
Cultural,4,0,0,0,50,50
By Most Common Gear,,,,,,
Troll,186,2.1505376344086025,3.225806451612903,16.666666666666664,30.107526881720432,47.8494623655914
Bait for Pelagic,47,0,2.127659574468085,12.76595744680851,25.53191489361702,59.57446808510638
HL for Deep7 deep,46,6.521739130434782,0,10.869565217391305,32.608695652173914,50
HL for Deep7 shallow,29,0,0,20.689655172413794,37.93103448275862,41.37931034482759
Spear,6,0,0,16.666666666666664,16.666666666666664,66.66666666666666
By Sub-fishery,,,,,,
Pelagic,325,2.1538461538461537,2.1538461538461537,14.76923076923077,30.153846153846153,50.76923076923077
Deep7 Bottom,196,2.0408163265306123,1.0204081632653061,10.204081632653061,28.57142857142857,58.16326530612245
Non-Deep7 Bottom,198,2.0202020202020203,1.5151515151515151,11.11111111111111,26.767676767676768,58.58585858585859
Coral Reef,55,1.8181818181818181,0,5.454545454545454,18.181818181818183,74.54545454545455
