TYPE,Number of Respondents,Not at all important,Slightly important,Moderatel important,Very important,Extremely important
ALL,335,0.3,0.9,8.4,37.9,52.5
By County,,,,,,
Oahu,120,0.8,1.7,10.0,33.3,54.2
Hawaii,127,0.0,0.8,6.3,38.6,54.3
Maui,49,0.0,0.0,12.2,42.9,44.9
Kauai,37,0.0,0.0,5.4,43.2,51.4
By Primary Fishing Motivation,,,,,,
Recreational Expense,104,0.0,1.0,8.7,34.6,55.8
Part-Time Commercial,90,0.0,1.1,6.7,44.4,47.8
Subsistence,47,0.0,0.0,12.8,38.3,48.9
Full-Time Commercial,33,0.0,3.0,6.1,30.3,60.6
Purely Recreational,25,0.0,0.0,12.0,40.0,48.0
Cultural,4,0.0,0.0,0.0,50.0,50.0
By Most Common Gear,,,,,,
Troll,183,0.5,0.0,9.8,32.2,57.4
Bait for Pelagic,47,0.0,4.3,4.3,48.9,42.6
HL for Deep7 deep,46,0.0,0.0,10.9,39.1,50.0
HL for Deep7 shallow,27,0.0,3.7,0.0,59.3,37.0
Spear,6,0.0,0.0,33.3,16.7,50.0
By Sub-fishery,,,,,,
Pelagic,320,0.3,0.9,8.4,37.8,52.5
Deep7 Bottom,194,0.5,1.5,8.8,36.6,52.6
Non-Deep7 Bottom,195,0.5,1.0,8.2,41.0,49.2
Coral Reef,52,0.0,0.0,13.5,26.9,59.6
