TYPE,Number of Respondents,Used green stick,Did not use green stick
ALL,340,6.470588235294119,93.52941176470588
By County,,,
Oahu,122,2.459016393442623,97.54098360655738
Hawaii,128,7.03125,92.96875
Maui,50,8,92
Kauai,39,15.384615384615385,84.61538461538461
By Primary Fishing Motivation,,,
Recreational Expense,104,6.730769230769231,93.26923076923077
Part-Time Commercial,91,4.395604395604396,95.6043956043956
Subsistence,49,2.0408163265306123,97.95918367346938
Full-Time Commercial,34,17.647058823529413,82.35294117647058
Purely Recreational,26,3.8461538461538463,96.15384615384616
Cultural,4,25,75
By Most Common Gear,,,
Troll,186,5.913978494623656,94.08602150537635
Bait for Pelagic,46,8.695652173913043,91.30434782608695
HL for Deep7 deep,48,10.416666666666668,89.58333333333334
HL for Deep7 shallow,29,0,100
Spear,6,0,100
By Sub-fishery,,,
Pelagic,325,6.461538461538462,93.53846153846153
Deep7 Bottom,196,8.673469387755102,91.3265306122449
Non-Deep7 Bottom,199,8.040201005025125,91.95979899497488
Coral Reef,54,1.8518518518518516,98.14814814814815
