TYPE,Number of Respondents,Used green stick,Did not use green stick
ALL,340,6.5,93.5
By County,,,
Oahu,122,2.5,97.5
Hawaii,128,7.0,93.0
Maui,50,8.0,92.0
Kauai,39,15.4,84.6
By Primary Fishing Motivation,,,
Recreational Expense,104,6.7,93.3
Part-Time Commercial,91,4.4,95.6
Subsistence,49,2.0,98.0
Full-Time Commercial,34,17.6,82.4
Purely Recreational,26,3.8,96.2
Cultural,4,25.0,75.0
By Most Common Gear,,,
Troll,186,5.9,94.1
Bait for Pelagic,46,8.7,91.3
HL for Deep7 deep,48,10.4,89.6
HL for Deep7 shallow,29,0.0,100.0
Spear,6,0.0,100.0
By Sub-fishery,,,
Pelagic,325,6.5,93.5
Deep7 Bottom,196,8.7,91.3
Non-Deep7 Bottom,199,8.0,92.0
Coral Reef,54,1.9,98.1
