TYPE,Number of Respondents,None,Very Little,Some,About Half,Most,Almost All
ALL,56,76.78571428571429,5.357142857142857,3.571428571428571,7.142857142857142,1.7857142857142856,5.357142857142857
By County,,,,,,,
Oahu,20,70,10,0,10,0,10
Hawaii,25,76,4,4,8,4,4
Maui,9,100,0,0,0,0,0
Kauai,2,50,0,50,0,0,0
By Primary Fishing Motivation,,,,,,,
Recreational Expense,10,90,0,0,10,0,0
Part-Time Commercial,18,61.111111111111114,11.11111111111111,5.555555555555555,5.555555555555555,0,16.666666666666664
Subsistence,11,81.81818181818183,0,0,18.181818181818183,0,0
Full-Time Commercial,5,80,20,0,0,0,0
Purely Recreational,3,100,0,0,0,0,0
Cultural,1,0,0,100,0,0,0
By Most Common Gear,,,,,,,
Troll,26,84.61538461538461,3.8461538461538463,3.8461538461538463,7.6923076923076925,0,0
Bait for Pelagic,6,83.33333333333334,0,0,0,16.666666666666664,0
HL for Deep7 deep,12,91.66666666666666,0,0,0,0,8.333333333333332
HL for Deep7 shallow,2,0,50,50,0,0,0
Spear,6,66.66666666666666,0,0,16.666666666666664,0,16.666666666666664
By Sub-fishery,,,,,,,
Pelagic,53,79.24528301886792,5.660377358490567,3.7735849056603774,5.660377358490567,1.8867924528301887,3.7735849056603774
Deep7 Bottom,38,78.94736842105263,2.631578947368421,5.263157894736842,7.894736842105263,2.631578947368421,2.631578947368421
Non-Deep7 Bottom,42,73.80952380952381,4.761904761904762,4.761904761904762,9.523809523809524,2.380952380952381,4.761904761904762
Coral Reef,39,71.7948717948718,5.128205128205128,5.128205128205128,10.256410256410255,2.564102564102564,5.128205128205128
