TYPE,Number of Respondents,None,Very Little,Some,About Half,Most,Almost All,,,,,,,,,,,,,,,
ALL,56,1.785714286,21.42857143,10.71428571,10.71428571,3.571428571,51.78571429,,56,1.8,21.4,10.7,10.7,3.6,51.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
By County,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oahu,20,5,15,15,10,0,55,,20,5,15,15,10,0,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawaii,25,0,28,4,12,8,48,,25,0,28,4,12,8,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maui,9,0,22.22222222,22.22222222,0,0,55.55555556,,9,0,22.2,22.2,0,0,55.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kauai,2,0,0,0,50,0,50,,2,0,0,0,50,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
By Primary Fishing Motivation,,,,,,,,,By Primary Fishing Motivation,,,,,,,#VALUE!,0.0,0.0,0.0,0.0,0.0,0.0
Recreational Expense,10,0,20,10,10,0,60,,10,0,20,10,10,0,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Part-Time Commercial,18,5.555555556,22.22222222,11.11111111,5.555555556,5.555555556,50,,18,5.6,22.2,11.1,5.6,5.6,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subsistence,11,0,9.090909091,9.090909091,27.27272727,0,54.54545455,,11,0,9.1,9.1,27.3,0,54.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Full-Time Commercial,5,0,40,0,0,20,40,,5,0,40,0,0,20,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Purely Recreational,3,0,0,0,0,0,100,,3,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cultural,1,0,0,0,100,0,0,,1,0,0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
By Most Common Gear,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Troll,26,0,23.07692308,15.38461538,11.53846154,3.846153846,46.15384615,,26,0,23.1,15.4,11.5,3.8,46.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bait for Pelagic,6,0,33.33333333,0,0,0,66.66666667,,6,0,33.3,0,0,0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL for Deep7 deep,12,0,25,8.333333333,0,0,66.66666667,,12,0,25,8.3,0,0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL for Deep7 shallow,2,50,0,0,50,0,0,,2,50,0,0,50,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spear,6,0,16.66666667,0,16.66666667,0,66.66666667,,6,0,16.7,0,16.7,0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
By Sub-fishery,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pelagic,53,1.886792453,20.75471698,9.433962264,9.433962264,3.773584906,54.71698113,,53,1.9,20.8,9.4,9.4,3.8,54.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deep7 Bottom,38,0,21.05263158,5.263157895,13.15789474,5.263157895,55.26315789,,38,0,21.1,5.3,13.2,5.3,55.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Non-Deep7 Bottom,42,2.380952381,19.04761905,11.9047619,11.9047619,4.761904762,50,,42,2.4,19,11.9,11.9,4.8,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coral Reef,39,2.564102564,15.38461538,10.25641026,15.38461538,5.128205128,51.28205128,,39,2.6,15.4,10.3,15.4,5.1,51.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
