TYPE,Number of Respondents,Oahu,Hawaii,Maui,Kaui
ALL,343,35.56851311953353,38.19241982507289,14.868804664723031,11.370262390670554
By County,,,,,
Oahu,122,100,0,0,0
Hawaii,131,0,100,0,0
Maui,51,0,0,100,0
Kauai,39,0,0,0,100
By Primary Fishing Motivation,,,,,
Recreational Expense,106,48.113207547169814,36.79245283018868,10.377358490566039,4.716981132075472
Part-Time Commercial,93,29.03225806451613,39.784946236559136,13.978494623655912,17.20430107526882
Subsistence,49,42.857142857142854,26.53061224489796,20.408163265306122,10.204081632653061
Full-Time Commercial,34,32.35294117647059,41.17647058823529,11.76470588235294,14.705882352941178
Purely Recreational,25,36,40,12,12
Cultural,4,0,50,25,25
By Most Common Gear,,,,,
Troll,186,40.32258064516129,35.483870967741936,11.827956989247312,12.365591397849462
Bait for Pelagic,47,10.638297872340425,74.46808510638297,8.51063829787234,6.382978723404255
HL for Deep7 deep,48,33.33333333333333,25,33.33333333333333,8.333333333333332
HL for Deep7 shallow,30,50,13.333333333333334,16.666666666666664,20
Spear,6,100,0,0,0
By Sub-fishery,,,,,
Pelagic,328,34.756097560975604,39.02439024390244,14.329268292682926,11.890243902439025
Deep7 Bottom,199,31.155778894472363,39.698492462311556,17.08542713567839,12.060301507537687
Non-Deep7 Bottom,201,38.308457711442784,33.83084577114428,16.417910447761194,11.442786069651742
Coral Reef,55,34.54545454545455,43.63636363636363,14.545454545454545,7.2727272727272725
