TYPE,Number of Respondents,Oahu,Hawaii,Maui,Kaui,,,,,,,,,,
ALL,343,35.56851312,38.19241983,14.86880466,11.37026239,,,,,,,,,,
By County,,,,,,,,,,,,,,,
Oahu,122,100,0,0,0,,,,,,,,,,
Hawaii,131,0,100,0,0,,,,,,,,,,
Maui,51,0,0,100,0,,,,,,,,,,
Kauai,39,0,0,0,100,,,,,,,,,,
By Primary Fishing Motivation,,,,,,,,,,,,,,,
Recreational Expense,106,48.11320755,36.79245283,10.37735849,4.716981132,106,48.1,36.8,10.4,4.7,0.0,0.0,0.0,0.0,0.0
Part-Time Commercial,93,29.03225806,39.78494624,13.97849462,17.20430108,93,29,39.8,14,17.2,0.0,0.0,0.0,0.0,0.0
Subsistence,49,42.85714286,26.53061224,20.40816327,10.20408163,49,42.9,26.5,20.4,10.2,0.0,0.0,0.0,0.0,0.0
Full-Time Commercial,34,32.35294118,41.17647059,11.76470588,14.70588235,34,32.4,41.2,11.8,14.7,0.0,0.0,0.0,0.0,0.0
Purely Recreational,25,36,40,12,12,25,36,40,12,12,0.0,0.0,0.0,0.0,0.0
Cultural,4,0,50,25,25,4,0,50,25,25,0.0,0.0,0.0,0.0,0.0
By Most Common Gear,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
Troll,186,40.32258065,35.48387097,11.82795699,12.3655914,186,40.3,35.5,11.8,12.4,0.0,0.0,0.0,0.0,0.0
Bait for Pelagic,47,10.63829787,74.46808511,8.510638298,6.382978723,47,10.6,74.5,8.5,6.4,0.0,0.0,0.0,0.0,0.0
HL for Deep7 deep,48,33.33333333,25,33.33333333,8.333333333,48,33.3,25,33.3,8.3,0.0,0.0,0.0,0.0,0.0
HL for Deep7 shallow,30,50,13.33333333,16.66666667,20,30,50,13.3,16.7,20,0.0,0.0,0.0,0.0,0.0
Spear,6,100,0,0,0,6,100,0,0,0,0.0,0.0,0.0,0.0,0.0
By Sub-fishery,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
Pelagic,328,34.75609756,39.02439024,14.32926829,11.8902439,328,34.8,39,14.3,11.9,0.0,0.0,0.0,0.0,0.0
Deep7 Bottom,199,31.15577889,39.69849246,17.08542714,12.06030151,199,31.2,39.7,17.1,12.1,0.0,0.0,0.0,0.0,0.0
Non-Deep7 Bottom,201,38.30845771,33.83084577,16.41791045,11.44278607,201,38.3,33.8,16.4,11.4,0.0,0.0,0.0,0.0,0.0
Coral Reef,55,34.54545455,43.63636364,14.54545455,7.272727273,55,34.5,43.6,14.5,7.3,0.0,0.0,0.0,0.0,0.0
