TYPE,NO_RESPONDENTS,Trolling,Bait,deep_D7,shallow_D7,Spearfish,Other
ALL,340,95,71.47058823529412,57.94117647058824,58.82352941176471,13.823529411764707,14.411764705882351
By County,,,,,,,
Oahu,121,93.38842975206612,64.46280991735537,51.2396694214876,62.8099173553719,14.049586776859504,13.223140495867769
Hawaii,128,96.875,79.6875,60.15625,53.125,17.1875,17.1875
Maui,51,90.19607843137256,68.62745098039215,66.66666666666666,64.70588235294117,11.76470588235294,7.8431372549019605
Kauai,39,100,69.23076923076923,61.53846153846154,58.97435897435898,5.128205128205128,17.94871794871795
By Primary Fishing Motivation,,,,,,,
Recreational Expense,105,96.19047619047619,65.71428571428571,50.476190476190474,58.0952380952381,8.571428571428571,8.571428571428571
Part-Time Commercial,90,92.22222222222223,77.77777777777779,52.22222222222223,53.333333333333336,16.666666666666664,16.666666666666664
Subsistence,49,97.95918367346938,59.183673469387756,63.26530612244898,61.224489795918366,18.367346938775512,14.285714285714285
Full-Time Commercial,34,94.11764705882352,82.35294117647058,70.58823529411765,64.70588235294117,8.823529411764707,23.52941176470588
Purely Recreational,26,96.15384615384616,65.38461538461539,65.38461538461539,50,11.538461538461538,11.538461538461538
Cultural,4,100,75,50,75,25,25
By Most Common Gear,,,,,,,
Troll,187,100,73.2620320855615,48.1283422459893,47.05882352941176,12.299465240641712,9.62566844919786
Bait for Pelagic,46,97.82608695652173,100,63.04347826086957,73.91304347826086,13.043478260869565,15.217391304347828
HL for Deep7 deep,48,93.75,52.083333333333336,100,70.83333333333334,14.583333333333334,8.333333333333332
HL for Deep7 shallow,29,75.86206896551724,62.06896551724138,55.172413793103445,100,6.896551724137931,17.24137931034483
Spear,6,83.33333333333334,50,50,83.33333333333334,100,16.666666666666664
By Sub-fishery,,,,,,,
Pelagic,326,99.079754601227,74.5398773006135,58.895705521472394,58.895705521472394,13.803680981595093,12.883435582822086
Deep7 Bottom,198,96.96969696969697,71.71717171717171,99.4949494949495,68.68686868686868,15.656565656565657,15.656565656565657
Non-Deep7 Bottom,200,95,78,68,100,18.5,17.5
Coral Reef,55,87.27272727272727,69.0909090909091,60,74.54545454545455,74.54545454545455,43.63636363636363
