TYPE,NO_RESPONDENTS,Rod and Reel,Spearfishing,Net,Other
ALL,81,90.1,51.9,32.1,6.2
By County,,,,,
Oahu,30,93.3,40.0,20.0,6.7
Hawaii,28,85.7,67.9,35.7,0.0
Maui,16,93.8,50.0,43.8,18.8
Kauai,7,85.7,42.9,42.9,0.0
By Primary Fishing Motivation,,,,,
Recreational Expense,16,93.8,50.0,18.8,0.0
Part-Time Commercial,24,91.7,58.3,29.2,4.2
Subsistence,14,100.0,64.3,35.7,14.3
Full-Time Commercial,7,57.1,28.6,42.9,0.0
Purely Recreational,4,100.0,25.0,0.0,0.0
Cultural,3,100.0,33.3,66.7,0.0
By Most Common Gear,,,,,
Troll,39,92.3,48.7,30.8,5.1
Bait for Pelagic,11,90.9,63.6,54.5,0.0
HL for Deep7 deep,22,81.8,59.1,22.7,13.6
HL for Deep7 shallow,4,100.0,25.0,25.0,0.0
Spear,0,,,,
By Sub-fishery,,,,,
Pelagic,78,89.7,51.3,30.8,6.4
Deep7 Bottom,63,87.3,55.6,31.7,6.3
Non-Deep7 Bottom,61,95.1,55.7,34.4,6.6
Coral Reef,26,88.5,96.2,53.8,3.8
