TYPE,NO_RESPONDENTS,Home Consumption,Given Away,Caught and Released,Sold
ALL,331,27.31380664652568,24.196465256797584,4.705861027190332,43.78262839879154
By County,,,,,
Oahu,120,27.958083333333335,28.28725,4.563833333333333,39.190083333333334
Hawaii,124,27.36233870967742,20.758790322580644,5.7014516129032256,46.17556451612903
Maui,49,29.03,23.672857142857143,3.836734693877551,43.45857142857143
Kauai,36,22.77777777777778,23.055555555555557,2.9722222222222223,51.19444444444444
By Primary Fishing Motivation,,,,,
Recreational Expense,99,29.423737373737374,28.51969696969697,5.084040404040404,36.9710101010101
Part-Time Commercial,94,18.067127659574467,17.104361702127658,4.262340425531915,60.56542553191489
Subsistence,47,44.49574468085106,33.04893617021276,3.3617021276595747,19.091489361702127
Full-Time Commercial,34,12.401764705882353,8.298823529411765,3.3529411764705883,75.94588235294118
Purely Recreational,25,43.72,39.68,5.92,10.68
Cultural,4,21.25,12.5,2.5,63.75
By Most Common Gear,,,,,
Troll,178,31.624157303370787,26.048314606741574,4.46438202247191,37.86202247191011
Bait for Pelagic,45,18.08111111111111,18.636666666666667,6.066666666666666,57.214444444444446
HL for Deep7 deep,47,24.183829787234043,23.32212765957447,4.545957446808511,47.946382978723406
HL for Deep7 shallow,30,27.96066666666667,30.444,6.122,35.472
Spear,6,27.833333333333332,23.166666666666668,2.5,46.5
By Sub-fishery,,,,,
Pelagic,316,27.619841772151897,24.354525316455696,4.68240506329114,43.341930379746834
Deep7 Bottom,192,25.595,25.610625,4.782916666666667,44.01
Non-Deep7 Bottom,192,26.345104166666665,24.563854166666665,5.574583333333333,43.5153125
Coral Reef,51,24.515686274509804,21.809803921568626,3.8168627450980392,49.85568627450981
