TYPE,NO_RESPONDENTS,Pelagic fish,Deep 7 bottomfish,Shallow bottomfish,Nearshore and reef fish
ALL,277,57.986714801444045,17.79537906137184,8.966859205776172,7.362815884476534
By County,,,,,
Oahu,94,48.363404255319146,18.92723404255319,14.469787234042553,12.01595744680851
Hawaii,106,71.80971698113207,11.696509433962264,4.182358490566037,3.2547169811320753
Maui,42,44.785714285714285,32.904761904761905,8.023809523809524,5.714285714285714
Kauai,34,56.56852941176471,15.539117647058823,10.097941176470588,9.558823529411764
By Primary Fishing Motivation,,,,,
Recreational Expense,90,57.12222222222222,20.005555555555556,8.38888888888889,5.205555555555556
Part-Time Commercial,85,61.811764705882354,15.958823529411765,9.81764705882353,6.117647058823529
Subsistence,27,48.43185185185185,18.691111111111113,11.95037037037037,15.74074074074074
Full-Time Commercial,33,59.63121212121212,17.60090909090909,11.706969696969697,4.090909090909091
Purely Recreational,9,66.44444444444444,7.222222222222222,1.7777777777777777,15.11111111111111
Cultural,4,68.75,15,2.5,13.75
By Most Common Gear,,,,,
Troll,139,74.41841726618705,9.975971223021583,4.227769784172662,4.723021582733813
Bait for Pelagic,46,75.06521739130434,5.891304347826087,7.956521739130435,3.369565217391304
HL for Deep7 deep,41,16.069024390243904,68.71536585365854,6.532439024390244,2.4634146341463414
HL for Deep7 shallow,21,8.777619047619048,10.682380952380953,42.82523809523809,17.476190476190474
Spear,5,16.4,4,39.6,40
By Sub-fishery,,,,,
Pelagic,267,60.10232209737828,17.694082397003744,8.029288389513109,6.365168539325842
Deep7 Bottom,163,48.471288343558285,29.523435582822085,8.330184049079755,6.251533742331288
Non-Deep7 Bottom,171,50.57204678362573,18.14514619883041,13.10421052631579,8.821637426900585
Coral Reef,50,41.8166,15.1166,13.4266,22.34
