TYPE,Trolling,Bait,deep_D7,shallow_D7,Spearfish
ALL,16.625691900311526,13.918296680497924,9.073332142857144,8.598236,5.74468085106383
By County,,,,,
Oahu,17.776415044247788,8.853988461538462,8.709840322580645,8.689784210526316,10.802941176470588
Hawaii,16.01150569105691,21.13792277227723,9.358893506493507,9.143617647058823,3.2504545454545455
Maui,7.638875555555556,6.6441,10.065739393939394,7.055757575757576,1.19
Kauai,25.65891282051282,11.041437037037037,7.731616666666667,8.8964173913043485,3.85
By Primary Fishing Motivation,,,,,
Recreational Expense,16.252120792079207,10.358249275362319,6.264603773584906,10.336570491803279,2.586666666666667
Part-Time Commercial,18.209334146341465,15.439733333333333,9.934927659574468,7.8009916666666665,8.57
Subsistence,10.12571914893617,6.0128571428571425,4.158293333333333,5.84696,4.526666666666666
Full-Time Commercial,29.322465625,40.53353214285714,23.841620833333334,15.019545454545455,11.823333333333332
Purely Recreational,13.661992,3.920576470588235,5.435282352941177,4.6692307692307695,3.2
Cultural,16.85,12.433333333333334,11,23.1,5
By Most Common Gear,,,,,
Troll,21.44020053475936,7.154178832116789,5.28759,3.889943181818182,2.825217391304348
Bait for Pelagic,14.986217777777778,39.34075652173913,5.696034482758621,7.331170588235294,3.4
HL for Deep7 deep,5.461959090909091,7.448641666666666,19.854812765957448,4.242905882352941,1.6671428571428573
HL for Deep7 shallow,6.6958,11.059933333333333,4.041175,29.898193103448275,3.1
Spear,2.92,2.3833333333333333,1.7666666666666668,2.96,24.808333333333334
By Sub-fishery,,,,,
Pelagic,16.625691900311526,13.918296680497924,8.72603717277487,8.531495833333333,5.746666666666667
Deep7 Bottom,14.192279473684211,14.20925357142857,9.073332142857144,7.15207794117647,4.214516129032258
Non-Deep7 Bottom,15.731997894736843,15.363891025641026,8.453529411764706,8.598236,5.716216216216216
Coral Reef,12.8541625,11.934205263157894,8.965757575757577,8.342678048780488,5.662195121951219
