TYPE,Rod and Reel,Spearfishing,Net,Other
ALL, 9.8 , 4.8 , 4.3 , 2.5 
By County,,,,
Oahu, 11.6 , 5.0 , 9.1 , 2.3 
Hawaii, 9.4 , 5.6 , 3.5 ,
Maui, 5.7 , 3.3 , 1.7 , 2.7 
Kauai, 12.7 , 3.2 , 3.5 ,
By Primary Fishing Motivation,,,,
Recreational Expense, 12.4 , 5.7 , 7.0 ,
Part-Time Commercial, 8.3 , 5.7 , 5.7 , 0.3 
Subsistence, 8.6 , 2.6 , 1.9 , 2.7 
Full-Time Commercial, 22.2 , 4.0 , 8.7 ,
Purely Recreational, 5.9 , 0.6 ,,
Cultural, 5.3 , 0.3 , 0.9 ,
By Most Common Gear,,,,
Troll, 8.8 , 3.9 , 3.9 , 2.7 
Bait for Pelagic, 7.9 , 7.8 , 4.2 ,
HL for Deep7 deep, 5.5 , 3.4 , 2.8 , 2.4 
HL for Deep7 shallow, 26.1 , 0.3 , 0.3 ,
Spear,,,,
By Sub-fishery,,,,
Pelagic, 8.7 , 4.4 , 3.5 , 2.5 
Deep7 Bottom, 10.3 , 4.3 , 3.8 , 2.8 
Non-Deep7 Bottom, 9.8 , 5.4 , 3.8 , 1.6 
Coral Reef, 10.8 , 6.1 , 5.3 , 0.8 
