Type,Number of Respondents,"Annual Landings All Species, Mean","Annual Landings All Species, Median","Annual Landings, Pelagic","Annual Landings, Bottom","Annual Landings, Shallow","Annual Landings, Reef",,,,,,,,,,,,,,,
ALL,280," 10,116 "," 3,500 "," 6,098 "," 1,540 ", 871 , 653 ,,280,"10,116","3,500","6,098","1,540",871,653,0,0,0,0,0,0,0
By County,,,,,,,,,By County,,,,,,,#VALUE!,0,0,0,0,0,0
Oahu,93," 7,173 "," 3,500 "," 3,187 "," 1,517 "," 1,161 ", 633 ,,93,"7,173","3,500","3,187","1,517","1,161",633,0,0,0,0,0,0,0
Hawaii,109," 12,705 "," 3,500 "," 8,746 "," 1,155 ", 622 , 336 ,,109,"12,705","3,500","8,746","1,155",622,336,0,0,0,0,0,0,0
Maui,44," 9,047 "," 3,500 "," 4,916 "," 3,026 ", 674 , 589 ,,44,"9,047","3,500","4,916","3,026",674,589,0,0,0,0,0,0,0
Kauai,33," 11,135 "," 3,500 "," 7,180 ", 959 ," 1,117 "," 1,799 ",,33,"11,135","3,500","7,180",959,"1,117","1,799",0,0,0,0,0,0,0
By Primary Fishing Motivation,,,,,,,,,By Primary Fishing Motivation,,,,,,,#VALUE!,0,0,0,0,0,0
Recreational Expense,92," 3,917 "," 2,500 "," 2,162 "," 1,087 ", 368 , 217 ,,102,"3,917","2,500","2,162","1,087",368,217,-10,0,0,0,0,0,0
Part-Time Commercial,87," 8,983 "," 3,500 "," 5,955 "," 1,241 ", 716 , 618 ,,87,"8,983","3,500","5,955","1,241",716,618,0,0,0,0,0,0,0
Subsistence,27," 6,382 "," 1,500 "," 4,266 ", 370 ," 1,255 ", 445 ,,27,"6,382","1,500","4,266",370,"1,255",445,0,0,0,0,0,0,0
Full-Time Commercial,34," 35,709 "," 35,000 "," 20,914 "," 4,068 "," 3,014 "," 1,474 ",,34,"35,709","35,000","20,914","4,068","3,014","1,474",0,0,0,0,0,0,0
Purely Recreational,9," 2,939 ", 750 ," 2,009 ", 502 , 143 , 190 ,,9,"2,939",750,"2,009",502,143,190,0,0,0,0,0,0,0
Cultural,4," 19,250 "," 19,250 "," 8,313 "," 5,250 ", 875 ," 4,813 ",,4,"19,250","19,250","8,313","5,250",875,"4,813",0,0,0,-1,0,0,-1
By Most Common Gear,,,,,,,,,By Most Common Gear,,,,,,,#VALUE!,0,0,0,0,0,0
Troll,144," 7,985 "," 3,500 "," 6,062 ", 874 , 569 , 248 ,,144,"7,985","3,500","6,062",874,569,248,0,0,0,0,0,0,0
Bait for Pelagic,43," 18,702 "," 7,500 "," 13,114 ", 663 ," 1,129 ", 256 ,,43,"18,702","7,500","13,114",663,"1,129",256,0,0,0,0,0,0,0
HL for Deep7 deep,40," 7,904 "," 3,500 "," 1,246 "," 5,607 ", 890 , 43 ,,40,"7,904","3,500","1,246","5,607",890,43,0,0,0,0,0,0,0
HL for Deep7 shallow,22," 6,552 "," 3,500 ", 642 ," 1,102 "," 2,389 "," 1,549 ",,22,"6,552","3,500",642,"1,102","2,389","1,549",0,0,0,0,0,0,0
Spear,5," 2,400 "," 1,500 ", 239 , 38 , 452 ," 1,673 ",,5,"2,400","1,500",239,38,452,"1,673",0,0,0,-1,-1,-1,-1
By Sub-fishery,,,,,,,,,By Sub-fishery,,,,,,,#VALUE!,0,0,0,0,0,0
Pelagic,268," 9,860 "," 3,500 "," 6,316 "," 1,454 ", 801 , 523 ,,268,"9,860","3,500","6,316","1,454",801,523,0,0,0,0,0,0,0
Deep7 Bottom,162," 11,474 "," 3,500 "," 6,356 "," 2,557 ", 950 , 671 ,,162,"11,474","3,500","6,356","2,557",950,671,0,0,0,0,0,0,0
Non-Deep7 Bottom,167," 11,121 "," 3,500 "," 6,418 "," 1,646 "," 1,252 ", 744 ,,167,"11,121","3,500","6,418","1,646","1,252",744,0,0,0,0,0,0,0
Coral Reef,50," 12,209 "," 3,500 "," 5,063 "," 1,607 ", 752 ," 2,797 ",,50,"12,209","3,500","5,063","1,607",752,"2,797",0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
