Type,Number of Respondents,"Annual Landings All Species, Mean","Annual Landings All Species, Median","Annual Landings, Pelagic","Annual Landings, Bottom","Annual Landings, Shallow","Annual Landings, Reef",,,,,,,,,,,,,,,
ALL,342,3161.535088,925,2428.520468,259.1929825,154.5760234,319.245614,,342,"3,162",925,"2,429",259,155,319,0,0,0,0,0,0,0
By County,,,,,,,,,By County,,,,,,,#VALUE!,0,0,0,0,0,0
Oahu,121,2169.983471,925,1521.421488,195.7107438,178.0165289,274.8347107,,121,"2,170",925,"1,521",196,178,275,0,0,0,0,0,0,0
Hawaii,130,3857.930769,862.5,3244.784615,187.3769231,104.0384615,321.7307692,,130,"3,858",862.5,"3,245",187,104,322,0,0,0,0,0,0,0
Maui,51,2499.784314,900,1510.980392,669.6862745,146.5686275,172.5490196,,51,"2,500",900,"1,511",670,147,173,0,0,0,0,0,0,0
Kauai,39,4854.666667,1625,3776.410256,165.3846154,264.7435897,648.1282051,,39,"4,855","1,625","3,776",165,265,648,0,0,0,0,0,0,0
By Primary Fishing Motivation,,,,,,,,,By Primary Fishing Motivation,,,,,,,#VALUE!,0,0,0,0,0,0
Recreational Expense,105,1335.085714,800,940.4761905,169.1333333,140.7142857,84.76190476,,105,"1,335",800,940,169,141,85,0,0,0,0,0,0,0
Part-Time Commercial,92,2808.608696,1350,2187.25,174.8369565,137.7717391,308.75,,92,"2,809","1,350","2,187",175,138,309,0,0,0,0,0,0,0
Subsistence,49,1352.346939,750,946.9387755,116.8367347,80.91836735,207.6530612,,49,"1,352",750,947,117,81,208,0,0,0,0,0,0,0
Full-Time Commercial,34,14985.61765,8845,12149.35294,1086.764706,482.3529412,1267.147059,,34,"14,986","8,845","12,149","1,087",482,"1,267",0,0,0,0,0,0,0
Purely Recreational,26,615.3846154,350,377.8846154,83.65384615,47.11538462,106.7307692,,26,615,350,378,84,47,107,0,0,0,0,0,0,0
Cultural,4,9687.5,3662.5,7881.25,262.5,212.5,1331.25,,4,"9,688","3,662.50","7,881",263,213,"1,331",0,-1,0,0,-1,-1,0
By Most Common Gear,,,,,,,,,By Most Common Gear,,,,,,,#VALUE!,0,0,0,0,0,0
Troll,187,2675.304813,775,2406.283422,96.76470588,79.41176471,92.84491979,,187,"2,675",775,"2,406",97,79,93,0,0,0,0,0,0,0
Bait for Pelagic,46,6313.413043,2361,5654.717391,233.6956522,217.3913043,207.6086957,,46,"6,313","2,361","5,655",234,217,208,0,0,0,0,0,0,0
HL for Deep7 deep,48,2079.354167,1112.5,665.3125,1093.729167,230.2083333,90.10416667,,48,"2,079","1,112.50",665,"1,094",230,90,0,0,0,0,0,0,0
HL for Deep7 shallow,30,1443.833333,775,373.3333333,88.33333333,445.5,536.6666667,,30,"1,444",775,373,88,446,537,0,0,0,0,0,-1,0
Spear,6,666.6666667,225,104.1666667,12.5,70.83333333,479.1666667,,6,667,225,104,13,71,479,0,0,0,0,-1,0,0
By Sub-fishery,,,,,,,,,By Sub-fishery,,,,,,,#VALUE!,0,0,0,0,0,0
Pelagic,327,3076.152905,875,2516.449541,212.5963303,146.6055046,200.5015291,,327,"3,076",875,"2,516",213,147,201,0,0,0,0,0,0,0
Deep7 Bottom,198,3491.010101,1112.5,2655.550505,437.8484848,163.7626263,233.8484848,,198,"3,491","1,112.50","2,656",438,164,234,0,0,0,0,0,0,0
Non-Deep7 Bottom,200,3239.99,1175,2456.36,236.675,226.2,320.755,,200,"3,240","1,175","2,456",237,226,321,0,0,0,0,0,0,0
Coral Reef,55,3570.509091,1550,1698.509091,240.4545455,175.7272727,1455.818182,,55,"3,571","1,550","1,699",240,176,"1,456",0,0,0,0,0,0,0
