TYPE,NO_RESPONDENTS,Pelagic Landings,Deep7 Landings,Shallow Bottom Landings,Reef/Near Shore
ALL,342,76.81459798658028,8.198326928679439,4.889271164259719,10.097803920480557
By County,,,,,
Oahu,121,70.11212333566924,9.018996983638525,8.203589165473325,12.665290515218915
Hawaii,130,84.10686478004351,4.856928086200055,2.6967425742376845,8.339464559518754
Maui,51,60.44443049988626,26.789762253998383,5.863250947140538,6.902556298974813
Kauai,39,77.78928020619863,3.4067141317896605,5.453383474531511,13.350622187480193
By Primary Fishing Motivation,,,,,
Recreational Expense,105,70.44313188380985,12.668350168350168,10.539719226159903,6.348798721680078
Part-Time Commercial,92,77.87663704758661,6.225037926870801,4.905337626551906,10.99298739899068
Subsistence,49,70.02188183807439,8.639553308684826,5.983550894137177,15.3550139591036
Full-Time Commercial,34,81.07342137853746,7.252051476808155,3.2187725093275708,8.455754635326814
Purely Recreational,26,61.40624999999999,13.593749999999998,7.656250000000001,17.34375
Cultural,4,81.35483870967742,2.7096774193548385,2.193548387096774,13.741935483870968
By Most Common Gear,,,,,
Troll,187,89.94427143091298,3.6169600345405195,2.9683258642125843,3.4704426703339313
Bait for Pelagic,46,89.5667264657372,3.701573943674096,3.4433245987666012,3.2883749918221037
HL for Deep7 deep,48,31.996112575018287,52.59946497810819,11.071145888647315,4.3332765582262125
HL for Deep7 shallow,30,25.857093385663166,6.117972988572088,30.855361883873943,37.1695717418908
Spear,6,15.625,1.875,10.625,71.875
By Sub-fishery,,,,,
Pelagic,327,81.80508638018415,6.911110625090715,4.765871824491849,6.517931170233283
Deep7 Bottom,198,76.06825612684818,12.542171812158212,4.690981163739475,6.698590897254131
Non-Deep7 Bottom,200,75.8138142401674,7.304806496316346,6.981503029330336,9.899876234185909
Coral Reef,55,47.57050178736926,6.734461090346169,4.9216307325667845,40.773406389717785
