TYPE,NO_RESPONDENTS,Caught and Released,Given Away,Home Consumption,Sold,,,,,,,,,,
ALL,328,3.730047391,12.36179001,14.31387732,69.59428527,328,3.7,12.4,14.3,69.6,0.0,0.0,0.0,0.0,0.0
By County,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
Oahu,119,4.496007447,16.07870917,16.33689155,63.08839183,119,4.5,16.1,16.3,63.1,0.0,0.0,0.0,0.0,0.0
Hawaii,123,4.402478717,10.45531536,14.8466952,70.29551073,123,4.4,10.5,14.8,70.3,0.0,0.0,0.0,0.0,0.0
Maui,49,3.080254916,13.83899917,13.81381987,69.26692604,49,3.1,13.8,13.8,69.3,0.0,0.0,0.0,0.0,0.0
Kauai,36,1.356586039,11.15383998,10.4150092,77.07456478,36,1.4,11.2,10.4,77.1,0.0,0.0,0.0,0.0,0.0
By Primary Fishing Motivation,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
Recreational Expense,98,6.465346309,25.4331458,23.00972793,45.09177996,98,6.5,25.4,23,45.1,0.0,0.0,0.0,0.0,0.0
Part-Time Commercial,92,4.575962789,13.46279055,12.94864808,69.01259858,92,4.6,13.5,12.9,69,0.0,0.0,0.0,0.0,0.0
Subsistence,47,2.932646777,23.85324325,28.37990209,44.83420788,47,2.9,23.9,28.4,44.8,0.0,0.0,0.0,0.0,0.0
Full-Time Commercial,34,2.667695496,4.77824396,9.548465521,83.00559502,34,2.7,4.8,9.5,83,0.0,0.0,0.0,0.0,0.0
Purely Recreational,25,6.0208,36.5248,30.3472,27.1072,25,6,36.5,30.3,27.1,0.0,0.0,0.0,0.0,0.0
Cultural,4,0.94516129,17.92903226,18.6516129,62.47419355,4,0.9,17.9,18.7,62.5,0.0,0.0,0.0,0.0,0.0
By Most Common Gear,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
Troll,178,3.956647889,14.08428281,19.0062158,62.9528535,178,4,14.1,19,63,0.0,0.0,0.0,0.0,0.0
Bait for Pelagic,43,4.236212207,8.633608026,8.380649368,78.7495304,43,4.2,8.6,8.4,78.7,0.0,0.0,0.0,0.0,0.0
HL for Deep7 deep,47,3.178825162,16.19040966,12.63672826,67.99403692,47,3.2,16.2,12.6,68,0.0,0.0,0.0,0.0,0.0
HL for Deep7 shallow,30,7.346775656,25.99856697,26.55150986,40.10314751,30,7.3,26,26.6,40.1,0.0,0.0,0.0,0.0,0.0
Spear,6,0.375,15.525,10.225,73.875,6,0.4,15.5,10.2,73.9,0.0,0.0,0.0,0.0,0.0
By Sub-fishery,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
Pelagic,313,3.951262572,12.96294393,15.0704712,68.01532229,313,4,13,15.1,68,0.0,0.0,0.0,0.0,0.0
Deep7 Bottom,191,3.624421724,13.7723588,12.84094775,69.76227172,191,3.6,13.8,12.8,69.8,0.0,0.0,0.0,0.0,0.0
Non-Deep7 Bottom,191,4.439366944,14.54248877,13.48000894,67.53813535,191,4.4,14.5,13.5,67.5,0.0,0.0,0.0,0.0,0.0
Coral Reef,51,2.919804837,13.52490958,12.43367711,71.12160848,51,2.9,13.5,12.4,71.1,0.0,0.0,0.0,0.0,0.0
