TYPE,NO_RESPONDENTS,Pelagic Sold,Deep7 Sold,Shallow Bottom Sold,Reef/Near Sold,Other
ALL,271,60.973422598687435,15.395909852028803,8.708781006906701,6.529041866011936,8.392844676365124
By County,,,,,,
Oahu,92,46.383051367690264,22.074016179074157,16.89690230693409,9.213655227188946,5.43237491911254
Hawaii,103,69.20060377010647,9.139497011875681,4.919443548263201,2.6576254781767066,14.082830191577944
Maui,42,52.435881157948195,32.272092432706955,7.191467750126968,6.281742001015744,1.818816658202133
Kauai,33,64.47929111636654,8.61655023390874,10.031065366538668,16.158617067309656,0.7144762158764026
By Primary Fishing Motivation,,,,,,
Recreational Expense,89,54.13126055149128,27.23269555430501,9.22200337647721,5.441052335396736,3.9729881823297695
Part-Time Commercial,84,67.45920431557654,14.055967633175994,8.110586648685098,6.995954146999325,3.378287255563048
Subsistence,27,66.85167236406058,5.805596020916884,19.669705921613918,6.976163806362122,0.6968618870465062
Full-Time Commercial,33,60.58821231458291,11.786048189788442,8.73129369048591,4.270836899679666,14.623608905463072
Purely Recreational,9,68.34593572778827,17.069943289224952,4.877126654064272,6.474480151228732,3.232514177693762
Cultural,4,43.18181818181818,27.27272727272727,4.545454545454546,25,0
By Most Common Gear,,,,,,
Troll,137,75.2295055981725,10.841645222328196,7.0654942252004265,3.08350112905461,3.7798538252442655
Bait for Pelagic,43,70.12124456448076,3.5457615695578593,6.037072821346902,1.3678172496676826,18.928103794946786
HL for Deep7 deep,40,15.770931519848174,70.94173651747587,11.256460540882493,0.5464178396330855,1.4844535821603686
HL for Deep7 shallow,21,9.445531019978969,16.215597616543988,35.16933052926744,22.809323519102698,16.360217315106905
Spear,5,9.9375,1.5625,18.8125,69.6875,0
By Sub-fishery,,,,,,
Pelagic,261,63.48937735257577,14.615062954869826,8.054448818503426,5.254711698506752,8.586399175544226
Deep7 Bottom,159,54.5352678913519,21.942151052667366,8.15381937961321,5.761150762343357,9.607610914024162
Non-Deep7 Bottom,165,57.086931816343935,14.638128591160072,11.137170049954122,6.618678507004683,10.519091035537189
Coral Reef,48,48.55860725347188,15.409441502647617,7.211319812169048,26.827355380157858,1.9932760515536017
