Variable,Statistic,All Respondents,Troll,Bait for pelagic,Handline bottom,Handline shallow,Spear
Boat and trailer repair/maintenance/improvements,Number of Respondents,326,176,44,46,29,6
,Mean," 2,337 "," 2,762 "," 2,983 "," 1,269 ", 885 , 841 
,Standard Error, 302 , 497 , 690 , 274 , 171 , 452 
,Median, 973 ," 1,000 "," 1,350 ", 500 , 500 , 200 
Gear replacement/repair,Number of Respondents, 326 , 176 , 44 , 46 , 29 , 6 
,Mean," 1,969 "," 2,130 "," 2,228 "," 1,512 "," 1,718 ", 558 
,Standard Error, 188 , 282 , 413 , 539 , 505 , 390 
,Median, 800 ," 1,000 "," 1,245 ", 500 , 500 , 188 
Loan payments,Number of Respondents, 326 , 176 , 44 , 46 , 29 , 6 
,Mean, 718 , 731 ," 1,169 ", 325 , 496 , -   
,Standard Error, 124 , 186 , 381 , 193 , 284 , -   
,Median, -   , -   , -   , -   , -   , -   
Boat insurance,Number of Respondents, 326 , 176 , 44 , 46 , 29 , 6 
,Mean, 699 , 808 , 652 , 487 , 247 , 535 
,Standard Error, 68 , 96 , 130 , 93 , 77 , 271 
,Median, 300 , 400 , 200 , 350 , -   , 355 
Fees,Number of Respondents, 326 , 176 , 44 , 46 , 29 , 6 
,Mean, 648 , 621 , 615 , 559 , 459 , 478 
,Standard Error, 78 , 84 , 129 , 87 , 64 , 207 
,Median, 300 , 300 , 339 , 323 , 300 , 305 
Mooring fees,Number of Respondents, 326 , 176 , 44 , 46 , 29 , 6 
,Mean, 629 , 858 , 521 , 397 , 149 , 3 
,Standard Error, 105 , 174 , 184 , 194 , 95 , 3 
,Median, -   , -   , -   , -   , -   , -   
Financial service,Number of Respondents, 326 , 176 , 44 , 46 , 29 , 6 
,Mean, 49 , 48 , 77 , 74 , 19 , -   
,Standard Error, 11 , 16 , 40 , 25 , 16 , -   
,Median, -   , -   , -   , -   , -   , -   
Other,Number of Respondents, 326 , 176 , 44 , 46 , 29 , 6 
,Mean, 18 , 9 , -   , 96 , -   , -   
,Standard Error, 9 , 6 , -   , 56 , -   , -   
,Median, -   , -   , -   , -   , -   , -   
Annual fixed costs,Number of Respondents, 326 , 176 , 44 , 46 , 29 , 6 
,Mean," 7,069 "," 7,967 "," 8,245 "," 4,718 "," 3,972 "," 2,416 "
,Standard Error, 515 , 829 ," 1,113 ", 838 , 764 , 836 
,Median," 3,775 "," 4,898 "," 6,634 "," 2,995 "," 2,650 "," 1,740 "
