Variable,Statistic,All Respondents,Deep7Bottomfish
Boat Length,Number of Respondents,330,191
,Mean,23.53030303030303,23.12565445026178
,Standard Error,0.3350540046802733,0.3612912871021837
,Median,22,22
Boat Horsepower,Number of Respondents,329,191
,Mean,249.51975683890578,216.8324607329843
,Standard Error,14.574644110916097,8.312176274667655
,Median,200,180
Boat Age,Number of Respondents,320,185
,Mean,26.0875,25.583783783783783
,Standard Error,0.8316309348235464,1.085923058099677
,Median,26,26
Current Boat Owner,Number of Respondents,324,188
,Mean,12.885802469135802,13.106382978723405
,Standard Error,0.6403829667517551,0.824134481191436
,Median,9,10
Boat Purchase Price,Number of Respondents,307,178
,Mean,53148.05211726384,44489.04494382023
,Standard Error,6824.183040506041,2930.441211828519
,Median,35000,35000
Boat Current Market Value,Number of Respondents,309,179
,Mean,62221.553398058255,52854.5251396648
,Standard Error,6992.748640581529,3865.2696670124988
,Median,40000,40000
Most Recent Years for major Vessel Improvement,Number of Respondents,227,137
,Mean,4.079295154185022,4.175182481751825
,Standard Error,0.2937424087366931,0.3891643415550496
,Median,2,2
