Variable,Statistic,All Respondents,Reef
Boat Length,Number of Respondents,330,53
,Mean,23.53030303030303,22.056603773584907
,Standard Error,0.3350540046802733,0.5786571050624054
,Median,22,22
Boat Horsepower,Number of Respondents,329,53
,Mean,249.51975683890578,206.75471698113208
,Standard Error,14.574644110916097,16.72729936423071
,Median,200,190
Boat Age,Number of Respondents,320,52
,Mean,26.0875,24.307692307692307
,Standard Error,0.8316309348235464,2.208843199890661
,Median,26,21
Current Boat Owner,Number of Respondents,324,51
,Mean,12.885802469135802,11.490196078431373
,Standard Error,0.6403829667517551,1.5439629552143412
,Median,9,9
Boat Purchase Price,Number of Respondents,307,51
,Mean,53148.05211726384,45421.76470588235
,Standard Error,6824.183040506041,6069.256114290574
,Median,35000,34000
Boat Current Market Value,Number of Respondents,309,50
,Mean,62221.553398058255,53570.2
,Standard Error,6992.748640581529,6518.2044509580855
,Median,40000,40000
Most Recent Years for major Vessel Improvement,Number of Respondents,227,35
,Mean,4.079295154185022,3.1714285714285713
,Standard Error,0.2937424087366931,0.5430782389209089
,Median,2,2
